Incident energy,Cross section
1E-05,39430.31
1.0625E-05,38252.83
1.125E-05,37174.89
1.1875E-05,36183.2
1.25E-05,35266.85
1.375E-05,33625.29
1.5E-05,32193.45
1.625E-05,30930.16
1.75E-05,29804.76
1.875E-05,28793.85
2E-05,27879.25
2.1875E-05,26657.27
2.375E-05,25583
2.5625E-05,24628.89
2.75E-05,23774.1
2.9375E-05,23002.5
3.125E-05,22301.43
3.3125E-05,21660.74
3.5E-05,21072.25
3.875E-05,20026.09
4.25E-05,19121.62
4.625E-05,18329.5
5E-05,17628.23
5.3125E-05,17101.47
5.625E-05,16619.23
5.9375E-05,16175.58
6.25E-05,15765.62
6.875E-05,15031.18
7.5E-05,14390.56
8.125E-05,13825.32
8.75E-05,13321.75
9.375E-05,12869.4
0.0001,12460.13
0.00010625,12087.51
0.0001125,11746.37
0.00011875,11432.51
0.000125,11142.49
0.0001375,10622.9
0.00015,10169.65
0.0001625,9769.716
0.000175,9413.406
0.0001875,9093.316
0.0002,8803.697
0.00021875,8416.698
0.0002375,8076.435
0.00025625,7774.192
0.000275,7503.373
0.00029375,7258.88
0.0003125,7036.703
0.00033125,6833.638
0.00035,6647.091
0.0003875,6315.406
0.000425,6028.569
0.0004625,5777.295
0.0005,5554.785
0.00053125,5387.609
0.0005625,5234.531
0.00059375,5093.67
0.000625,4963.481
0.0006875,4730.184
0.00075,4526.603
0.0008125,4346.911
0.000875,4186.764
0.0009375,4042.85
0.001,3912.593
0.0010625,3793.955
0.001125,3685.301
0.0011875,3585.3
0.00125,3492.857
0.001375,3327.153
0.0015,3182.497
0.001625,3054.763
0.00175,2940.877
0.001875,2838.493
0.002,2745.788
0.0021875,2621.807
0.002375,2512.691
0.0025625,2415.678
0.00275,2328.679
0.0029375,2250.075
0.003125,2178.593
0.0033125,2113.215
0.0035,2053.113
0.0036875,1997.608
0.003875,1946.137
0.00425,1853.491
0.004625,1772.218
0.005,1700.158
0.0053125,1645.967
0.005625,1596.309
0.0059375,1550.583
0.00625,1508.292
0.006875,1432.418
0.0075,1366.1
0.008125,1307.474
0.00875,1255.167
0.009375,1208.129
0.01,1165.539
0.010625,1126.745
0.01125,1091.223
0.011875,1058.546
0.0125,1028.359
0.013125,1000.362
0.01375,974.3008
0.015,927.1459
0.01625,885.5257
0.0175,848.4576
0.01875,815.2008
0.02,785.1676
0.021325,756.3264
0.02265,730.1237
0.023975,706.1958
0.0253,684.2442
0.02665079,663.6426
0.02800157,644.6183
0.02935235,626.99
0.03070313,610.6063
0.03205391,595.3393
0.03340469,581.0803
0.03610625,555.2248
0.03880782,532.3878
0.04150938,512.0226
0.04421094,493.7451
0.0469125,477.279
0.05,460.3786
0.053125,445.0684
0.05625,431.3177
0.059375,418.9262
0.0625,407.7297
0.065625,397.5922
0.06875,388.4005
0.071875,380.0602
0.075,372.4959
0.078125,365.6493
0.08125,359.4633
0.0875,348.802
0.09375,340.1512
0.1,333.3305
0.10625,328.18
0.1125,324.5834
0.11875,322.4664
0.125,321.7918
0.13125,322.5559
0.1375,324.7875
0.14375,328.5484
0.15,333.9362
0.15625,341.086
0.1625,350.165
0.16875,361.391
0.171875,367.9118
0.175,375.1073
0.178125,383.0321
0.18125,391.7429
0.184375,401.3037
0.1875,411.788
0.190625,423.2809
0.19375,435.8796
0.196875,449.696
0.2,464.8593
0.2035549,483.9362
0.2071097,505.203
0.2106645,528.958
0.2142193,555.5524
0.2177741,585.4031
0.2213289,619.0087
0.2231063,637.4021
0.2248837,656.9678
0.2266611,677.8001
0.2284385,700.0028
0.2315086,741.9225
0.2345787,788.9535
0.2361138,814.6319
0.2376488,841.8988
0.2391838,870.881
0.2407188,901.7155
0.2422539,934.5553
0.2437889,969.5616
0.2453239,1006.919
0.2468589,1046.829
0.248394,1089.514
0.249929,1135.213
0.251464,1184.194
0.252999,1236.75
0.2542916,1284.012
0.2560691,1353.894
0.2578465,1429.969
0.2596239,1512.882
0.2614013,1603.331
0.2631787,1702.074
0.2649561,1809.918
0.2667335,1927.709
0.2685109,2056.317
0.2702883,2196.602
0.2720657,2349.374
0.2738431,2515.335
0.2756205,2695.007
0.2773979,2888.635
0.2791753,3096.083
0.2809527,3316.705
0.28273,3549.213
0.2846525,3811.745
0.2865749,4082.107
0.2884973,4355.387
0.2904197,4625.446
0.2923422,4885.091
0.2942646,5126.317
0.296187,5340.818
0.2981094,5520.475
0.2998571,5647.383
0.3016047,5734.909
0.3033524,5779.826
0.3051,5780.406
0.3063234,5754.323
0.3075468,5706.895
0.3087702,5638.958
0.3099935,5551.699
0.3112169,5446.588
0.3124402,5325.376
0.3136636,5189.968
0.3148869,5042.44
0.3169653,4769.97
0.3190436,4478.94
0.321122,4178.993
0.3232003,3878.649
0.3252787,3584.864
0.327357,3303.022
0.3294354,3036.872
0.3315137,2788.792
0.3333671,2583.757
0.3352205,2394.209
0.3370739,2219.887
0.3389272,2060.215
0.3407806,1914.377
0.3426339,1781.463
0.3444873,1660.472
0.3463406,1550.423
0.348194,1450.331
0.3500473,1359.283
0.3519007,1276.409
0.353754,1200.92
0.3556074,1132.082
0.3574607,1069.246
0.359314,1011.815
0.3611673,959.2564
0.3625995,921.6737
0.3640316,886.5181
0.3654638,853.6021
0.3668959,822.7632
0.3683281,793.8437
0.3697602,766.7074
0.3711923,741.2236
0.3726244,717.2748
0.3740566,694.7518
0.3754887,673.5591
0.378353,634.8043
0.3812173,600.3739
0.3840815,569.7324
0.3859349,551.7065
0.3877882,534.9686
0.3896416,519.4201
0.3914949,504.9753
0.3933483,491.5538
0.3952016,479.0856
0.397055,467.5047
0.3989083,456.7538
0.402615,437.5328
0.4063217,421.0556
0.4100284,407.021
0.413735,395.183
0.4167678,386.989
0.4198006,380.0398
0.4228334,374.2602
0.4258661,369.5892
0.4288989,365.9772
0.4319316,363.3869
0.4349644,361.7911
0.4379971,361.1726
0.4406929,361.4372
0.4433887,362.4693
0.4460845,364.2759
0.4487802,366.8703
0.451476,370.2723
0.4541718,374.5078
0.4568676,379.6104
0.4595633,385.6207
0.46327,395.4599
0.4669767,407.2688
0.4706834,421.2452
0.4743901,437.6353
0.4780968,456.7428
0.4818035,478.941
0.4855102,504.6842
0.4873636,519.0529
0.4892169,534.5212
0.4919127,559.165
0.4946085,586.6209
0.5,651.4174
0.5063288,748.6002
0.5094932,808.1372
0.5126575,876.7769
0.5158219,956.2537
0.5189863,1048.648
0.5221507,1156.435
0.525315,1282.495
0.5294999,1482.877
0.5336847,1729.144
0.5378696,2029.095
0.539962,2200.984
0.5420544,2387.816
0.5441469,2589.236
0.5462393,2804.197
0.5483317,3030.883
0.5504241,3266.567
0.554609,3749.205
0.5587938,4211.61
0.5621954,4537.556
0.5655969,4788.316
0.5689985,4939.858
0.5724,4976.71
0.5764819,4864.963
0.5805638,4599.524
0.5846425,4217.432
0.5887212,3765.625
0.5927999,3290.789
0.5968786,2830.884
0.6009573,2411.192
0.605036,2044.458
0.6091147,1733.597
0.6131933,1475.243
0.6159676,1326.235
0.6187418,1196.162
0.6215161,1082.677
0.6242903,983.5974
0.6270646,896.9351
0.6298388,820.9487
0.632613,754.118
0.6353872,695.1404
0.6409357,596.4686
0.6464841,517.9287
0.6520326,454.5067
0.657581,402.6234
