Incident energy,Cross section
1E-05,46.77352
1.0625E-05,45.46141
1.125E-05,44.26251
1.1875E-05,43.16165
1.25E-05,42.14635
1.375E-05,40.33267
1.5E-05,38.75667
1.625E-05,37.37145
1.75E-05,36.14206
1.875E-05,35.04189
2E-05,34.05025
2.1875E-05,32.73145
2.375E-05,31.57851
2.5625E-05,30.56021
2.75E-05,29.65292
2.9375E-05,28.83843
3.125E-05,28.10241
3.3125E-05,27.43345
3.5E-05,26.82231
3.875E-05,25.7445
4.25E-05,24.82258
4.625E-05,24.02368
5E-05,23.32378
5.3125E-05,22.80306
5.625E-05,22.33042
5.9375E-05,21.89929
6.25E-05,21.50424
6.875E-05,20.80525
7.5E-05,20.20551
8.125E-05,19.68487
8.75E-05,19.2284
9.375E-05,18.82475
0.0001,18.46515
0.00010625,18.14269
0.0001125,17.85187
0.00011875,17.58822
0.000125,17.3481
0.0001375,16.92685
0.00015,16.56942
0.0001625,16.26236
0.000175,15.99579
0.0001875,15.76225
0.0002,15.55602
0.00021875,15.28833
0.0002375,15.06077
0.00025625,14.86503
0.000275,14.69494
0.00029375,14.54582
0.0003125,14.41405
0.00033125,14.29679
0.00035,14.19181
0.0003875,14.0117
0.000425,13.86283
0.0004625,13.73775
0.0005,13.63119
0.00053125,13.55372
0.0005625,13.48476
0.00059375,13.42296
0.000625,13.36725
0.0006875,13.27082
0.00075,13.1902
0.0008125,13.12176
0.000875,13.06289
0.0009375,13.01167
0.001,12.96667
0.0010625,12.9268
0.001125,12.8912
0.0011875,12.85919
0.00125,12.83024
0.001375,12.77985
0.0015,12.73737
0.001625,12.70099
0.00175,12.66939
0.001875,12.64163
0.002,12.61698
0.0021875,12.58468
0.002375,12.5568
0.0025625,12.53237
0.00275,12.5107
0.0029375,12.49125
0.003125,12.47363
0.0033125,12.45752
0.0035,12.44269
0.0036875,12.42894
0.003875,12.41611
0.00425,12.39273
0.004625,12.37179
0.005,12.35275
0.0053125,12.33803
0.005625,12.32419
0.0059375,12.31108
0.00625,12.29859
0.006875,12.27516
0.0075,12.25338
0.008125,12.23287
0.00875,12.21337
0.009375,12.19469
0.01,12.17669
0.010625,12.15925
0.01125,12.1423
0.011875,12.12576
0.0125,12.10957
0.013125,12.0937
0.01375,12.0781
0.015,12.04762
0.01625,12.01794
0.0175,11.98892
0.01875,11.96046
0.02,11.93249
0.021325,11.90331
0.02265,11.87454
0.023975,11.84616
0.0253,11.81811
0.02665079,11.78983
0.02800157,11.76185
0.02935235,11.73414
0.03070313,11.70668
0.03205391,11.67946
0.03340469,11.65245
0.03610625,11.59907
0.03880782,11.54642
0.04150938,11.49443
0.04421094,11.44304
0.0469125,11.39219
0.05,11.33469
0.053125,11.27709
0.05625,11.22004
0.059375,11.16348
0.0625,11.10738
0.065625,11.05167
0.06875,10.99634
0.071875,10.94133
0.075,10.88661
0.078125,10.83214
0.08125,10.77791
0.0875,10.66995
0.09375,10.56249
0.1,10.45528
0.10625,10.34812
0.1125,10.24075
0.11875,10.13297
0.125,10.02452
0.13125,9.915183
0.1375,9.804701
0.14375,9.692827
0.15,9.579298
0.15625,9.46385
0.1625,9.346224
0.16875,9.226161
0.171875,9.165117
0.175,9.10334
0.178125,9.040796
0.18125,8.977454
0.184375,8.91329
0.1875,8.848281
0.190625,8.782407
0.19375,8.715654
0.196875,8.648015
0.2,8.579495
0.2035549,8.500499
0.2071097,8.420443
0.2106645,8.339422
0.2142193,8.257589
0.2177741,8.175172
0.2213289,8.092498
0.2231063,8.051203
0.2248837,8.01003
0.2266611,7.969064
0.2284385,7.928409
0.2315086,7.859272
0.2345787,7.792189
0.2361138,7.759719
0.2376488,7.728164
0.2391838,7.697697
0.2407188,7.66852
0.2422539,7.640863
0.2437889,7.614996
0.2453239,7.591223
0.2468589,7.569897
0.248394,7.551425
0.249929,7.536275
0.251464,7.524984
0.252999,7.518169
0.2542916,7.516422
0.2560691,7.520919
0.2578465,7.534725
0.2596239,7.559526
0.2614013,7.597293
0.2631787,7.650321
0.2649561,7.721272
0.2667335,7.813211
0.2685109,7.92964
0.2702883,8.074516
0.2720657,8.252245
0.2738431,8.467643
0.2756205,8.725855
0.2773979,9.03221
0.2791753,9.392001
0.2809527,9.810189
0.28273,10.29099
0.2846525,10.88508
0.2865749,11.55759
0.2884973,12.30706
0.2904197,13.12819
0.2923422,14.0114
0.2942646,14.94242
0.296187,15.90275
0.2981094,16.87015
0.2998571,17.73491
0.3016047,18.56547
0.3033524,19.3428
0.3051,20.04911
0.3063234,20.49306
0.3075468,20.89043
0.3087702,21.23787
0.3099935,21.53296
0.3112169,21.77439
0.3124402,21.96175
0.3136636,22.09565
0.3148869,22.17756
0.3169653,22.20423
0.3190436,22.10278
0.321122,21.89191
0.3232003,21.5921
0.3252787,21.22382
0.327357,20.80637
0.3294354,20.35685
0.3315137,19.88987
0.3333671,19.46831
0.3352205,19.04885
0.3370739,18.63653
0.3389272,18.2351
0.3407806,17.8471
0.3426339,17.47425
0.3444873,17.11746
0.3463406,16.77716
0.348194,16.45328
0.3500473,16.14554
0.3519007,15.85337
0.353754,15.57614
0.3556074,15.31307
0.3574607,15.06341
0.359314,14.82633
0.3611673,14.60105
0.3625995,14.43455
