Incident energy,cross section
1E-05,3957.475
1.0625E-05,3839.316
1.125E-05,3731.147
1.1875E-05,3631.634
1.25E-05,3539.681
1.375E-05,3374.957
1.5E-05,3231.28
1.625E-05,3104.517
1.75E-05,2991.591
1.875E-05,2890.155
2E-05,2798.384
2.1875E-05,2675.771
2.375E-05,2567.982
2.5625E-05,2472.251
2.75E-05,2386.486
2.9375E-05,2309.07
3.125E-05,2238.73
3.3125E-05,2174.451
3.5E-05,2115.409
3.875E-05,2010.453
4.25E-05,1919.715
4.625E-05,1840.251
5E-05,1769.902
5.3125E-05,1717.062
5.625E-05,1668.69
5.9375E-05,1624.188
6.25E-05,1583.067
6.875E-05,1509.404
7.5E-05,1445.152
8.125E-05,1388.465
8.75E-05,1337.966
9.375E-05,1292.605
0.0001,1251.567
0.00010625,1214.205
0.0001125,1180.002
0.00011875,1148.536
0.000125,1119.46
0.0001375,1067.375
0.00015,1021.945
0.0001625,981.8639
0.000175,946.158
0.0001875,914.0853
0.0002,885.0687
0.00021875,846.3011
0.0002375,812.2206
0.00025625,781.9531
0.000275,754.8368
0.00029375,730.3604
0.0003125,708.1216
0.00033125,687.7991
0.00035,669.1325
0.0003875,635.9508
0.000425,607.2647
0.0004625,582.1431
0.0005,559.9041
0.00053125,543.2004
0.0005625,527.9092
0.00059375,513.842
0.000625,500.8439
0.0006875,477.5602
0.00075,457.2526
0.0008125,439.337
0.000875,423.3779
0.0009375,409.0437
0.001,396.0761
0.0010625,384.271
0.001125,373.4645
0.0011875,363.5234
0.00125,354.3381
0.001375,337.8848
0.0015,323.5349
0.001625,310.8755
0.00175,299.5987
0.001875,289.4702
0.002,280.3074
0.0021875,268.067
0.002375,257.3083
0.0025625,247.7552
0.00275,239.1988
0.0029375,231.4772
0.003125,224.463
0.0033125,218.0542
0.0035,212.1684
0.003875,201.7064
0.00425,192.662
0.004625,184.7421
0.005,177.7331
0.0053125,172.4712
0.005625,167.6566
0.0059375,163.2295
0.00625,159.1404
0.006875,151.8179
0.0075,145.4318
0.008125,139.798
0.00875,134.7807
0.009375,130.2767
0.01,126.2055
0.010625,122.5032
0.01125,119.1182
0.011875,116.0076
0.0125,113.1358
0.01375,107.9937
0.015,103.5085
0.01625,99.55271
0.0175,96.03248
0.01875,92.875
0.02,90.0227
0.021325,87.28161
0.02265,84.78876
0.023975,82.5099
0.0253,80.41758
0.02684375,78.18499
0.0283875,76.14307
0.031475,72.52333
0.0345625,69.40052
0.03765,66.67847
0.0407375,64.28198
0.043825,62.15252
0.0469125,60.24521
0.05,58.52508
0.053125,56.94631
0.05625,55.50829
0.059375,54.19424
0.0625,52.98978
0.06875,50.84349
0.075,48.98264
0.08125,47.35922
0.0875,45.93073
0.09375,44.66425
0.1,43.53421
0.10625,42.52048
0.1125,41.60696
0.11875,40.7817
0.125,40.03784
0.1375,38.73825
0.15,37.64705
0.1625,36.73322
0.175,35.96785
0.1875,35.32956
0.2,34.80244
0.2153516,34.29091
0.2307032,33.91662
0.2460548,33.67314
0.2614063,33.56221
0.2733038,33.57454
0.2852013,33.68498
0.2970988,33.91346
0.3089962,34.29251
0.3208937,34.87133
0.3268424,35.26343
0.3327911,35.7501
0.3387399,36.35701
0.3446886,37.11793
0.3506373,38.08221
0.3536117,38.6627
0.356586,39.32465
0.3596564,40.10966
0.3627267,41.01818
0.365797,42.07521
0.3688673,43.31121
0.3719376,44.76321
0.3750079,46.47552
0.3780782,48.49944
0.3811485,50.89122
0.3833722,52.8851
0.3855958,55.11972
0.3878194,57.60799
0.390043,60.35338
0.3922667,63.34591
0.3944903,66.55713
0.3989375,73.41087
0.4032032,79.95554
0.405336,82.93964
0.4074688,85.56574
0.4096016,87.71251
0.4117344,89.27392
0.4138672,90.16963
0.4149336,90.35185
0.416,90.3532
0.4173448,90.09772
0.4186895,89.56149
0.4200343,88.75664
0.421379,87.70095
0.4227238,86.41662
0.4240685,84.92999
0.4267579,81.46679
0.4375157,65.37391
0.4402872,61.59867
0.4430587,58.192
0.4458302,55.18089
0.4486016,52.56017
0.4513731,50.30382
0.4541446,48.37514
0.4569161,46.73343
0.4596875,45.33865
0.4622071,44.2538
0.4647266,43.31809
0.4672462,42.51023
0.4697657,41.81217
0.4748048,40.68644
0.4798438,39.84436
0.4848829,39.21506
0.4899219,38.74576
0.5,38.14848
0.5290619,37.76541
0.5708384,38.88196
0.6126148,41.06147
0.6543913,44.13987
0.6961677,47.8886
0.7379442,52.88147
0.7797206,59.45873
0.8006089,63.60075
0.8214971,68.55647
0.8423853,74.59941
0.8632735,82.31963
0.8737177,87.21258
0.8841618,93.10454
0.8946059,100.4409
0.90505,110.0349
0.9102721,116.0996
0.9154941,123.364
0.9207162,132.2319
0.9259382,143.2728
0.9311603,157.2746
0.9363823,175.2641
0.9416044,198.4457
0.9468264,227.9658
0.9513673,259.3005
0.9559082,295.6267
0.9604491,335.6254
0.96499,376.7522
0.9694925,415.0469
0.973995,446.716
0.9784975,467.8749
0.983,475.8238
0.98725,470.4501
0.9915,453.6065
0.99575,427.747
1,396.1644
1.009413,322.3439
1.01412,289.9698
1.018826,262.9451
1.023533,241.5453
1.028239,225.3472
1.032946,213.5682
1.037652,205.3655
1.045506,197.6058
1.05336,195.0259
1.06645,197.9942
1.07954,206.9796
1.09263,220.494
1.105719,238.114
1.119464,261.2052
1.133208,289.6422
1.146953,324.5494
1.160697,367.5978
1.174442,421.2198
1.181314,453.0297
1.188186,488.9003
1.195058,529.5309
1.20193,575.7976
1.208802,628.8149
1.215674,690.007
1.222874,764.8783
1.230073,853.4169
1.237273,959.2176
1.244472,1087.065
1.248072,1161.254
1.251672,1243.635
1.255272,1335.473
1.258871,1438.255
1.262471,1553.874
1.26607,1684.501
1.26967,1832.949
1.273269,2002.514
1.277851,2255.712
1.282432,2561.052
