Incident energy,Cross section
1E-05,4.061121
1.0625E-05,3.939867
1.125E-05,3.828863
1.1875E-05,3.726743
1.25E-05,3.63238
1.375E-05,3.46334
1.5E-05,3.315898
1.625E-05,3.185813
1.75E-05,3.069928
1.875E-05,2.965833
2E-05,2.871657
2.1875E-05,2.745831
2.375E-05,2.635217
2.5625E-05,2.536977
2.75E-05,2.448964
2.9375E-05,2.369518
3.125E-05,2.297335
3.3125E-05,2.23137
3.5E-05,2.17078
3.875E-05,2.063073
4.25E-05,1.969956
4.625E-05,1.888408
5E-05,1.816215
5.3125E-05,1.761989
5.625E-05,1.712347
5.9375E-05,1.666678
6.25E-05,1.624479
6.875E-05,1.548883
7.5E-05,1.482946
8.125E-05,1.424771
8.75E-05,1.372947
9.375E-05,1.326395
0.0001,1.284279
0.00010625,1.245936
0.0001125,1.210835
0.00011875,1.178542
0.000125,1.148703
0.0001375,1.09525
0.00015,1.048626
0.0001625,1.007491
0.000175,0.9708461
0.0001875,0.9379298
0.0002,0.9081498
0.00021875,0.8683618
0.0002375,0.833384
0.00025625,0.8023192
0.000275,0.7744884
0.00029375,0.7493667
0.0003125,0.7265414
0.00033125,0.7056826
0.00035,0.6865234
0.0003875,0.6524652
0.000425,0.6230208
0.0004625,0.5972345
0.0005,0.5744067
0.00053125,0.5572604
0.0005625,0.5415636
0.00059375,0.5271232
0.000625,0.5137799
0.0006875,0.4898773
0.00075,0.4690291
0.0008125,0.4506359
0.000875,0.4342509
0.0009375,0.4195334
0.001,0.4062187
0.0010625,0.3940972
0.001125,0.3830006
0.0011875,0.3727924
0.00125,0.3633598
0.001375,0.3464627
0.0015,0.3317248
0.001625,0.318722
0.00175,0.3071387
0.001875,0.2967339
0.002,0.2873207
0.0021875,0.2747444
0.002375,0.2636893
0.0025625,0.2538721
0.00275,0.2450781
0.0029375,0.2371412
0.003125,0.2299306
0.0033125,0.2233417
0.0035,0.2172898
0.003875,0.2065308
0.00425,0.1972275
0.004625,0.1890793
0.005,0.1818666
0.0053125,0.1764506
0.005625,0.1714941
0.0059375,0.1669358
0.00625,0.1627247
0.006875,0.1551815
0.0075,0.1486006
0.008125,0.1427927
0.00875,0.1376184
0.009375,0.1329718
0.01,0.12877
0.010625,0.1249476
0.01125,0.1214513
0.011875,0.1182373
0.0125,0.1152689
0.01375,0.1099508
0.015,0.1053084
0.01625,0.1012108
0.0175,0.0975616
0.01875,0.09428578
0.02,0.09132421
0.021325,0.08847574
0.02265,0.08588299
0.023975,0.08351073
0.0253,0.08133072
0.02684375,0.07900229
0.0283875,0.07687046
0.031475,0.07308548
0.0345625,0.06981323
0.03765,0.06695465
0.0407375,0.06443228
0.043825,0.06218579
0.0469125,0.06016889
0.05,0.05834551
0.053125,0.0566678
0.05625,0.05513569
0.059375,0.05373187
0.0625,0.0524415
0.06875,0.05013263
0.075,0.04811934
0.08125,0.04635193
0.0875,0.04478635
0.09375,0.04338845
0.1,0.04213168
0.10625,0.04099507
0.1125,0.03996187
0.11875,0.03901954
0.125,0.03816081
0.1375,0.03663582
0.15,0.03532252
0.1625,0.03418741
0.175,0.03319902
0.1875,0.03233339
0.2,0.03157184
0.2153516,0.03075787
0.2307032,0.03005809
0.2460548,0.02945598
0.2614063,0.02893872
0.2733038,0.02858963
0.2852013,0.02828146
0.2970988,0.02801092
0.3089962,0.02777512
0.3208937,0.02757113
