
Incident energy;Cross section
1.0E-5;765.3523
1.0625E-5;742.5008
1.125E-5;721.5812
1.1875E-5;702.3356
1.25E-5;684.5521
1.375E-5;652.6949
1.5E-5;624.908
1.625E-5;600.3923
1.75E-5;578.5526
1.875E-5;558.935
2.0E-5;541.1866
2.1875E-5;517.4735
2.375E-5;496.6271
2.5625E-5;478.1129
2.75E-5;461.526
2.9375E-5;446.5537
3.125E-5;432.95
3.3125E-5;420.5183
3.5E-5;409.0995
3.875E-5;388.8009
4.25E-5;371.2521
4.625E-5;355.8834
5.0E-5;342.2778
5.3125E-5;332.0584
5.625E-5;322.7029
5.9375E-5;314.096
6.25E-5;306.1431
6.875E-5;291.8962
7.5E-5;279.4695
8.125E-5;268.5058
8.75E-5;258.7389
9.375E-5;249.9656
1.0E-4;242.0284
1.0625E-4;234.8021
1.125E-4;228.1868
1.1875E-4;222.1009
1.25E-4;216.4773
1.375E-4;206.4032
1.5E-4;197.6162
1.625E-4;189.8637
1.75E-4;182.9574
1.875E-4;176.7538
2.0E-4;171.1412
2.1875E-4;163.6425
2.375E-4;157.0503
2.5625E-4;151.1955
2.75E-4;145.9503
2.9375E-4;141.2156
3.125E-4;136.9136
3.3125E-4;132.9823
3.5E-4;129.3713
3.875E-4;122.9522
4.25E-4;117.4027
4.625E-4;112.5426
5.0E-4;108.24
5.3125E-4;105.0082
5.625E-4;102.0497
5.9375E-4;99.3279
6.25E-4;96.8129
6.875E-4;92.30759
7.5E-4;88.37793
8.125E-4;84.91096
8.75E-4;81.82247
9.375E-4;79.04828
0.001;76.53846
0.0010625;74.25352
0.001125;72.16177
0.0011875;70.23743
0.00125;68.45929
0.001375;65.27396
0.0015;62.49556
0.001625;60.04421
0.00175;57.86039
0.001875;55.89872
0.002;54.12393
0.0021875;51.75268
0.002375;49.66817
0.0025625;47.81698
0.00275;46.15865
0.0029375;44.66189
0.003125;43.30205
0.0033125;42.0594
0.0035;40.91796
0.003875;38.8886
0.00425;37.13366
0.004625;35.59644
0.005;34.23561
0.0053125;33.21366
0.005625;32.27836
0.0059375;31.41811
0.00625;30.62334
0.006875;29.19952
0.0075;27.95711
0.008125;26.86047
0.00875;25.8833
0.009375;25.00562
0.01;24.21184
0.010625;23.48959
0.01125;22.82885
0.011875;22.22135
0.0125;21.66016
0.01375;20.65449
0.015;19.77626
0.01625;19.0008
0.0175;18.3099
0.01875;17.68945
0.02;17.12828
0.021325;16.58829
0.02265;16.09653
0.023975;15.64623
0.0253;15.2319
0.02684375;14.78857
0.0283875;14.38222
0.02993125;14.00822
0.031475;13.66245
0.0345625;13.04119
0.03765;12.49657
0.0407375;12.01484
0.043825;11.58512
0.0469125;11.19872
0.05;10.84883
0.053125;10.52634
0.05625;10.23132
0.059375;9.960483
0.0625;9.71104
0.06875;9.263391
0.075;8.871417
0.08125;8.52573
0.0875;8.218005
0.09375;7.941785
0.1;7.692051
0.10625;7.464839
0.1125;7.256979
0.11875;7.066093
0.125;6.890797
0.1375;6.575987
0.15;6.300376
0.1625;6.057578
0.175;5.841616
0.1875;5.647944
0.2;5.473643
0.21875;5.240882
0.2375;5.036081
0.25625;4.854675
0.275;4.6926
0.29375;4.546717
0.3125;4.41456
0.33125;4.294158
0.35;4.183917
0.36875;4.082539
0.3875;3.989496
0.425;3.822576
0.5;3.549537
0.5625;3.368158
0.625;3.216786
0.75;2.979813
0.875;2.804377
1.0;2.670832
1.125;2.567357
1.25;2.487174
1.375;2.42542
1.5;2.378734
1.75;2.321979
2.0;2.304333
2.1875;2.312656
2.375;2.338646
2.75;2.440097
3.125;2.611003
3.5;2.86395
3.875;3.221023
4.0625;3.449967
4.25;3.722872
4.4375;4.048286
4.625;4.43872
4.8125;4.910979
5.0;5.487345
5.165415;6.107773
5.33083;6.865173
5.496245;7.801476
5.66166;8.977223
5.827075;10.46999
5.909783;11.37308
5.99249;12.4205
6.075198;13.63353
6.157905;15.0491
6.240613;16.71525
