
Incident energy;Cross section
1.0E-5;51.77852
1.0625E-5;50.23253
1.125E-5;48.81724
1.1875E-5;47.51521
1.25E-5;46.31209
1.375E-5;44.15684
1.5E-5;42.27695
1.625E-5;40.61837
1.75E-5;39.14083
1.875E-5;37.81363
2.0E-5;36.61288
2.1875E-5;35.0086
2.375E-5;33.59826
2.5625E-5;32.3457
2.75E-5;31.22353
2.9375E-5;30.21059
3.125E-5;29.29024
3.3125E-5;28.44919
3.5E-5;27.67666
3.875E-5;26.30338
4.25E-5;25.11612
4.625E-5;24.07636
5.0E-5;23.15589
5.3125E-5;22.4645
5.625E-5;21.83156
5.9375E-5;21.24926
6.25E-5;20.71121
6.875E-5;19.74734
7.5E-5;18.90661
8.125E-5;18.16486
8.75E-5;17.50407
9.375E-5;16.91052
1.0E-4;16.37352
1.0625E-4;15.88462
1.125E-4;15.43706
1.1875E-4;15.02531
1.25E-4;14.64484
1.375E-4;13.96326
1.5E-4;13.36877
1.625E-4;12.84426
1.75E-4;12.377
1.875E-4;11.95728
2.0E-4;11.57755
2.1875E-4;11.0702
2.375E-4;10.62418
2.5625E-4;10.22805
2.75E-4;9.873162
2.9375E-4;9.552814
3.125E-4;9.261746
3.3125E-4;8.995753
3.5E-4;8.75143
3.875E-4;8.317105
4.25E-4;7.94161
4.625E-4;7.612759
5.0E-4;7.321631
5.3125E-4;7.102956
5.625E-4;6.902765
5.9375E-4;6.718593
6.25E-4;6.548411
6.875E-4;6.243547
7.5E-4;5.977631
8.125E-4;5.74302
8.75E-4;5.534017
9.375E-4;5.346279
0.001;5.176428
0.0010625;5.021793
0.001125;4.88023
0.0011875;4.749993
0.00125;4.629649
0.001375;4.41406
0.0015;4.226006
0.001625;4.060081
0.00175;3.912258
0.001875;3.779467
0.002;3.659322
0.0021875;3.498791
0.002375;3.357664
0.0025625;3.232326
0.00275;3.120039
0.0029375;3.018686
0.003125;2.926599
0.0033125;2.842442
0.0035;2.765136
0.003875;2.62768
0.00425;2.508799
0.004625;2.404653
0.005;2.312446
0.0053125;2.243194
0.005625;2.179807
0.0059375;2.121501
0.00625;2.067626
0.006875;1.971098
0.0075;1.886852
0.008125;1.812475
0.00875;1.746187
0.009375;1.686637
0.01;1.632769
0.010625;1.583745
0.01125;1.538887
0.011875;1.497635
0.0125;1.459521
0.01375;1.391198
0.015;1.33151
0.01625;1.278784
0.0175;1.231791
0.01875;1.189572
0.02;1.151372
0.021325;1.114599
0.02265;1.081095
0.023975;1.050404
0.0253;1.022152
0.02684375;0.9919087
0.0283875;0.9641746
0.02993125;0.9386355
0.031475;0.9150131
0.0345625;0.8725382
0.03765;0.8352679
0.0407375;0.8022696
0.043825;0.772805
0.0469125;0.7462848
0.05;0.7222469
0.053125;0.70007
0.05625;0.6797616
0.059375;0.6610996
0.0625;0.6438941
0.06875;0.612973
0.075;0.5858463
0.08125;0.5618761
0.0875;0.5404965
0.09375;0.5212683
0.1;0.5038499
0.10625;0.4879715
0.1125;0.4734171
0.11875;0.4600251
0.125;0.4477012
0.1375;0.4255071
0.15;0.4060041
0.1625;0.3887563
0.175;0.3733556
0.1875;0.3594909
0.2;0.346963
0.21875;0.3301536
0.2375;0.3152797
0.25625;0.3020281
0.275;0.2901196
0.29375;0.279338
0.3125;0.2695133
0.33125;0.2605096
0.35;0.2522168
0.36875;0.2445452
0.3875;0.2374587
0.425;0.2246338
0.5;0.2032746
0.5625;0.188745
0.625;0.17635
0.75;0.1562542
0.875;0.1405605
1.0;0.12786
1.125;0.1172944
1.25;0.1083629
1.375;0.1006997
1.5;0.09404621
1.75;0.08307386
2.0;0.07439522
2.1875;0.06899811
2.375;0.06438649
2.75;0.05695329
3.125;0.05136937
3.5;0.04724594
3.875;0.04435652
4.0625;0.04334547
4.25;0.04263832
4.4375;0.04224127
4.625;0.04218202
4.8125;0.04250455
5.0;0.04327253
5.165415;0.04439822
5.33083;0.04604584
5.496245;0.04835055
5.66166;0.05151077
5.827075;0.05578156
5.909783;0.05845891
5.99249;0.06163184
6.075198;0.06537037
6.157905;0.06979783
6.240613;0.07507491
6.32332;0.08141312
6.386643;0.08715715
6.449966;0.09385538
6.513289;0.1017167
6.576612;0.1110139
6.639935;0.1220314
6.703258;0.1352292
6.73492;0.1429092
6.766581;0.1514288
6.782412;0.1560423
6.798243;0.1609141
6.814074;0.1660625
6.829904;0.1715077
6.838304;0.1745256
6.846704;0.1776375
6.855104;0.1808472
6.863504;0.1841589
6.871904;0.1875771
6.880304;0.1911063
6.884504;0.1929139
6.888704;0.1947512
6.892904;0.1966187
6.897104;0.198517
6.903243;0.2013487
6.909381;0.2042495
6.912451;0.2057272
6.91552;0.2072227
6.918589;0.2087367
6.921658;0.2102696
6.924728;0.2118222
6.927797;0.2133938
6.930866;0.2149852
6.933935;0.2165968
6.940074;0.2198823
6.946212;0.2232522
6.951705;0.2263422
6.957197;0.2295042
6.962689;0.2327409
6.968181;0.2360547
6.973674;0.2394487
6.979166;0.2429243
6.984658;0.2464847
6.99015;0.2501328
6.995643;0.253872
7.001135;0.257704
7.006628;0.2616334
7.01212;0.2656619
7.023105;0.2740332
7.034089;0.2828461
7.045074;0.2921338
7.056058;0.3019293
7.067043;0.3122724
7.078027;0.3232029
7.092243;0.3382985
7.106458;0.3545664
7.120673;0.3721335
7.134888;0.391143
7.149104;0.4117597
7.163319;0.4341681
7.177534;0.4585855
7.191749;0.4852613
7.205965;0.5144877
7.22018;0.5465988
7.234396;0.5819962
7.248611;0.6211436
7.262827;0.6646026
7.277042;0.7130316
7.291257;0.7672331
7.305472;0.8281764
7.319688;0.8970516
7.333903;0.9753114
7.348119;1.06479
7.362334;1.167772
7.37655;1.287205
7.390765;1.42687
7.40498;1.591771
7.419195;1.788604
7.432765;2.014696
7.43955;2.145101
7.446334;2.289337
7.453119;2.449597
7.459903;2.628443
7.466688;2.829131
7.473472;3.055574
7.480257;3.31282
7.487042;3.607141
7.493827;3.946582
7.500611;4.34142
7.507396;4.805102
7.51418;5.354683
7.520965;6.012417
7.527749;6.806253
7.534857;7.822758
7.538411;8.41701
7.541965;9.078104
7.545519;9.814022
7.549073;10.6334
7.552627;11.5455
7.55618;12.55981
7.559734;13.68712
7.563288;14.93766
7.566842;16.32197
7.570395;17.85001
7.577503;21.37822
7.58461;25.58841
7.590103;29.33715
7.595595;33.52065
7.601088;38.12454
7.60658;43.109
7.617565;53.94443
7.628549;65.21052
7.636722;73.18857
7.644895;80.20715
7.653068;85.72178
7.66124;89.27115
7.67;90.54538
7.678656;89.11308
7.687312;85.15256
7.695968;79.05465
7.704624;71.38636
7.728276;47.59324
7.740102;36.72228
