
Incident energy;Cross section
1.0E-5;46.64914
1.0625E-5;45.34158
1.125E-5;44.14686
1.1875E-5;43.04987
1.25E-5;42.03816
1.375E-5;40.23095
1.5E-5;38.66068
1.625E-5;37.28055
1.75E-5;36.05573
1.875E-5;34.9597
2.0E-5;33.97184
2.1875E-5;32.65816
2.375E-5;31.50977
2.5625E-5;30.49556
2.75E-5;29.59198
2.9375E-5;28.78088
3.125E-5;28.04797
3.3125E-5;27.38188
3.5E-5;26.77341
3.875E-5;25.70042
4.25E-5;24.78274
4.625E-5;23.98762
5.0E-5;23.29113
5.3125E-5;22.773
5.625E-5;22.30277
5.9375E-5;21.87387
6.25E-5;21.48092
6.875E-5;20.78574
7.5E-5;20.18939
8.125E-5;19.67181
8.75E-5;19.2181
9.375E-5;18.81697
1.0E-4;18.45969
1.0625E-4;18.13937
1.125E-4;17.85053
1.1875E-4;17.58872
1.25E-4;17.35032
1.375E-4;16.93221
1.5E-4;16.57755
1.625E-4;16.27298
1.75E-4;16.00866
1.875E-4;15.77718
2.0E-4;15.57282
2.1875E-4;15.30767
2.375E-4;15.08237
2.5625E-4;14.88867
2.75E-4;14.72043
2.9375E-4;14.57301
3.125E-4;14.4428
3.3125E-4;14.327
3.5E-4;14.22336
3.875E-4;14.0457
4.25E-4;13.89903
4.625E-4;13.77594
5.0E-4;13.67119
5.3125E-4;13.59515
5.625E-4;13.52752
5.9375E-4;13.467
6.25E-4;13.41251
6.875E-4;13.31838
7.5E-4;13.23991
8.125E-4;13.17351
8.75E-4;13.11659
9.375E-4;13.06725
0.001;13.02407
0.0010625;12.98597
0.001125;12.9521
0.0011875;12.92179
0.00125;12.8945
0.001375;12.84737
0.0015;12.80808
0.001625;12.77482
0.00175;12.74631
0.001875;12.72158
0.002;12.69994
0.0021875;12.6721
0.002375;12.64864
0.0025625;12.6286
0.00275;12.61127
0.0029375;12.59615
0.003125;12.58282
0.0033125;12.571
0.0035;12.56042
0.003875;12.54232
0.00425;12.52737
0.004625;12.51481
0.005;12.5041
0.0053125;12.49631
0.005625;12.48937
0.0059375;12.48313
0.00625;12.47751
0.006875;12.46774
0.0075;12.45954
0.008125;12.45255
0.00875;12.44651
0.009375;12.44122
0.01;12.43655
0.010625;12.43239
0.01125;12.42865
0.011875;12.42527
0.0125;12.42219
0.01375;12.41677
0.015;12.41214
0.01625;12.40811
0.0175;12.40455
0.01875;12.40138
0.02;12.39851
0.021325;12.39575
0.02265;12.39322
0.023975;12.39089
0.0253;12.38872
0.02684375;12.38637
0.0283875;12.38418
0.02993125;12.38213
0.031475;12.38019
0.0345625;12.3766
0.03765;12.37331
0.0407375;12.37025
0.043825;12.36738
0.0469125;12.36465
0.05;12.36204
0.053125;12.3595
0.05625;12.35705
0.059375;12.35467
0.0625;12.35234
0.06875;12.34785
0.075;12.34351
0.08125;12.33929
0.0875;12.33516
0.09375;12.3311
0.1;12.32711
0.10625;12.32317
0.1125;12.31927
0.11875;12.31541
0.125;12.31158
0.1375;12.30398
0.15;12.29645
0.1625;12.28899
0.175;12.28157
0.1875;12.27418
0.2;12.26682
0.21875;12.25582
0.2375;12.24485
0.25625;12.2339
0.275;12.22297
0.29375;12.21206
0.3125;12.20115
0.33125;12.19025
0.35;12.17935
0.36875;12.16844
0.3875;12.15753
0.425;12.1357
0.5;12.09192
