incident energy,cross_section
1E-05,58.74666
1.0625E-05,56.99265
1.125E-05,55.38692
1.1875E-05,53.90968
1.25E-05,52.54468
1.375E-05,50.09941
1.5E-05,47.96657
1.625E-05,46.08482
1.75E-05,44.40847
1.875E-05,42.90268
2E-05,41.54037
2.1875E-05,39.72022
2.375E-05,38.12012
2.5625E-05,36.69903
2.75E-05,35.42587
2.9375E-05,34.27665
3.125E-05,33.23247
3.3125E-05,32.27826
3.5E-05,31.40179
3.875E-05,29.84374
4.25E-05,28.49676
4.625E-05,27.31711
5E-05,26.2728
5.3125E-05,25.4884
5.625E-05,24.77031
5.9375E-05,24.10968
6.25E-05,23.49924
6.875E-05,22.40572
7.5E-05,21.4519
8.125E-05,20.61038
8.75E-05,19.86071
9.375E-05,19.18732
0.0001,18.57809
0.00010625,18.02345
0.0001125,17.51569
0.00011875,17.04857
0.000125,16.61693
0.0001375,15.84371
0.00015,15.16927
0.0001625,14.57424
0.000175,14.04416
0.0001875,13.56802
0.0002,13.13724
0.00021875,12.5617
0.0002375,12.05573
0.00025625,11.60637
0.000275,11.2038
0.00029375,10.84041
0.0003125,10.51024
0.00033125,10.20851
0.00035,9.931371
0.0003875,9.438719
0.000425,9.012807
0.0004625,8.63981
0.0005,8.30961
0.00053125,8.061591
0.0005625,7.834542
0.00059375,7.625665
0.000625,7.432659
0.0006875,7.086917
0.00075,6.785359
0.0008125,6.519313
0.000875,6.282315
0.0009375,6.06944
0.001,5.876854
0.0010625,5.701529
0.001125,5.54103
0.0011875,5.39338
0.00125,5.25695
0.001375,5.012559
0.0015,4.799399
0.001625,4.611338
0.00175,4.443808
0.001875,4.293326
0.002,4.157185
0.0021875,3.975301
0.002375,3.815421
0.0025625,3.673445
0.00275,3.546269
0.0029375,3.431491
0.003125,3.327219
0.0033125,3.231939
0.0035,3.144425
0.003875,2.988849
0.00425,2.854327
0.004625,2.736509
0.005,2.632222
0.0053125,2.553915
0.005625,2.482255
0.0059375,2.416353
0.00625,2.355473
0.006875,2.246425
0.0075,2.15129
0.008125,2.067335
0.00875,1.992542
0.009375,1.925377
0.01,1.864646
0.010625,1.8094
0.01125,1.75887
0.011875,1.712422
0.0125,1.669524
0.01375,1.592672
0.015,1.525588
0.01625,1.466378
0.0175,1.413647
0.01875,1.366314
0.02,1.323523
0.021325,1.282365
0.02265,1.244902
0.023975,1.210624
0.0253,1.179123
0.02684375,1.145476
0.0283875,1.114669
0.031475,1.059966
0.0345625,1.012663
0.03765,0.9713293
0.0407375,0.9348459
0.043825,0.9023405
0.0469125,0.8731447
0.05,0.8467371
0.053125,0.8224254
0.05625,0.8002095
0.059375,0.7798394
0.0625,0.7611013
0.06875,0.7275311
0.075,0.6982032
0.08125,0.6724005
0.0875,0.6494872
0.09375,0.6289704
0.1,0.6104671
0.10625,0.593675
0.1125,0.5783524
0.11875,0.5643178
0.125,0.5514659
0.1375,0.5284741
0.15,0.508451
0.1625,0.4909107
0.175,0.4753991
0.1875,0.461571
0.2,0.4492047
0.21875,0.4328188
0.2375,0.4185396
0.25625,0.4060217
0.275,0.3949584
0.29375,0.3851129
0.3125,0.3762997
0.33125,0.3683711
0.35,0.3612591
0.3875,0.3488905
0.425,0.3385456
0.5,0.3225695
0.625,0.3053315
0.75,0.2956742
0.875,0.291192
1,0.2905676
1.25,0.2984396
1.375,0.3065081
1.5,0.3173197
1.75,0.3479661
1.875,0.3685377
2,0.3933945
2.143788,0.4283416
2.287575,0.4717486
2.431363,0.5261055
2.57515,0.5949683
2.718938,0.6830466
2.790832,0.7365448
2.862725,0.7985928
2.934619,0.8705391
3.006513,0.9545822
3.078407,1.053579
3.1503,1.171292
3.217701,1.303105
3.285101,1.461404
3.352502,1.653839
3.419902,1.88999
3.487303,2.182574
3.521003,2.359063
3.554703,2.559453
3.588404,2.788213
3.622104,3.050995
3.655804,3.354965
3.689504,3.709288
3.725451,4.156186
3.761398,4.693114
3.797345,5.346172
3.833292,6.150253
3.869239,7.152359
3.887213,7.75101
3.905186,8.432578
3.92316,9.213097
3.941133,10.1117
3.959106,11.15306
3.977079,12.36921
3.9973,13.99916
4.01752,15.98445
4.03774,18.43785
4.05796,21.51975
4.06807,23.36602
4.07818,25.4665
4.08829,27.87181
4.0984,30.64681
4.10851,33.87543
4.11862,37.66745
4.12873,42.16835
4.13884,47.57506
4.149512,54.56944
4.160184,63.35007
4.16552,68.62263
4.170856,74.64315
4.176192,81.57527
4.181527,89.63162
4.186863,99.09901
4.192199,110.355
4.197535,123.9076
4.202871,140.4368
4.208207,160.8463
4.213543,186.3212
4.218879,218.3843
4.221547,237.4662
4.224214,258.9324
4.226882,283.099
4.22955,310.2818
4.232218,340.8242
4.234886,375.0854
4.237554,413.4347
4.240222,456.244
4.24289,503.8776
4.245558,556.6818
4.248226,614.9713
4.250894,679.0144
4.253562,749.017
4.25623,825.1057
4.258898,907.3108
4.261566,995.5488
4.264234,1089.607
4.266901,1189.091
4.271395,1367.586
4.274484,1496.633
4.277573,1629.183
4.283751,1897.476
4.289929,2155.617
4.296107,2384.5
4.302854,2578.709
4.3096,2694.58
4.315,2721.825
4.3204,2688.411
4.326649,2577.632
4.332897,2400.131
4.339146,2172.324
4.345394,1913.731
4.352725,1597.33
4.360055,1292.773
4.367386,1019.591
4.371051,898.4929
4.374716,788.6233
4.378215,694.3225
4.381714,610.1655
4.385213,535.7121
4.388711,470.3666
4.39221,413.3632
4.395708,363.9427
4.399207,321.2636
4.402705,284.5502
4.406204,253.019
4.409703,225.9742
4.413202,202.7739
4.4167,182.8523
4.420199,165.6975
4.423697,150.8869
4.427196,138.0425
4.430694,126.8591
4.435026,114.9176
4.439358,104.7105
4.44369,95.91413
4.448021,88.27379
4.456684,75.68482
4.465347,65.77249
4.474011,57.78533
4.482674,51.22949
4.491337,45.76542
4.5,41.15409
4.50092,40.70682
4.504056,39.23715
4.507192,37.84754
4.513463,35.286
4.526005,30.89926
4.537769,27.50014
4.549532,24.64148
4.561295,22.21259
4.573058,20.12988
4.584821,18.32918
4.596584,16.76066
4.608347,15.38534
4.62011,14.17235
4.639289,12.48065
4.658468,11.07445
4.677647,9.893794
4.696825,8.893696
4.715774,8.04842
4.734722,7.317952
4.753671,6.681156
4.772619,6.122471
4.791568,5.629976
4.810516,5.194055
4.848413,4.460487
4.88631,3.871127
4.924207,3.390576
4.962104,2.993766
5,2.662609
5.03418,2.408601
5.06836,2.18876
5.10254,1.997366
5.136719,1.829838
5.170899,1.682389
5.205079,1.551955
5.273438,1.332784
5.341798,1.15854
5.410157,1.014894
5.478516,0.8960265
5.546875,0.7969061
5.634766,0.6919709
5.722657,0.6065973
5.810548,0.536247
5.898438,0.4776235
5.986329,0.4282858
6.074219,0.386398
6.16211,0.3505557
6.25,0.3199118
6.40625,0.2748547
6.5625,0.2389967
6.71875,0.2102332
6.875,0.1868551
7.03125,0.1676384
7.1875,0.1516883
7.34375,0.1383391
7.5,0.1271314
7.75,0.1125972
8,0.101233
8.125,0.09654622
8.4375,0.08708883
8.75,0.08011286
9.0625,0.07510819
9.375,0.0717057
9.6875,0.06966036
10,0.06883389
10.33213,0.06927975
10.66425,0.07105968
10.99638,0.07443582
11.3285,0.07953724
11.66063,0.08696291
11.99275,0.09739567
12.15882,0.104095
12.32488,0.1121422
12.49094,0.1217803
12.657,0.1333966
12.82307,0.1475004
12.98913,0.1648455
13.15519,0.1864514
13.32125,0.2137426
13.40429,0.2300997
13.48732,0.2488406
13.57035,0.2702443
13.65338,0.294809
13.73641,0.3229047
13.81944,0.3562283
13.90247,0.3956819
13.9855,0.4426464
14.04891,0.4848547
14.11232,0.5339141
14.17573,0.5913517
14.23913,0.6591688
14.30254,0.7400643
14.36595,0.837635
14.42936,0.9568029
14.49276,1.104146
14.55617,1.28892
14.58787,1.399801
14.61957,1.526409
14.65128,1.671935
14.68298,1.840117
14.71468,2.035894
14.74638,2.265666
14.77809,2.537962
14.80979,2.863857
14.84149,3.258627
14.87319,3.743319
14.9049,4.348421
14.92075,4.709314
14.9366,5.118889
14.95245,5.586742
14.9683,6.124988
14.98415,6.749128
15,7.479382
15.01963,8.572178
15.03925,9.943587
15.04907,10.7692
15.05888,11.71335
15.06869,12.80503
15.0785,14.08261
15.08832,15.60081
15.09813,17.43094
15.10794,19.67946
15.11775,22.49483
15.12757,26.08985
15.13248,28.26566
15.13738,30.74676
15.14229,33.59593
15.14719,36.86211
15.1521,40.62798
15.157,44.95657
15.16222,50.29361
15.16743,56.48262
15.17265,63.67757
15.17786,71.99208
15.18308,81.60935
15.18829,92.65074
15.1935,105.2954
15.19871,119.705
15.20393,136.0689
15.20914,154.469
15.21435,175.0598
15.21956,197.9397
15.22478,223.2221
15.22999,250.8292
15.2352,280.7738
15.24041,312.9627
15.24593,349.3368
15.25145,387.7732
15.26249,469.2596
15.27353,553.379
15.28457,634.8542
15.28703,652.0474
15.29378,696.4587
