Incident energy,Cross section
1E-05,0.02543668
1.0625E-05,0.0246772
1.125E-05,0.02398193
1.1875E-05,0.0233423
1.25E-05,0.02275126
1.375E-05,0.02169247
1.5E-05,0.02076896
1.625E-05,0.01995417
1.75E-05,0.01922832
1.875E-05,0.01857632
2E-05,0.01798645
2.1875E-05,0.01719834
2.375E-05,0.0165055
2.5625E-05,0.01589017
2.75E-05,0.0153389
2.9375E-05,0.01484129
3.125E-05,0.01438916
3.3125E-05,0.01397599
3.5E-05,0.01359648
3.875E-05,0.01292185
4.25E-05,0.01233861
4.625E-05,0.01182782
5E-05,0.01137564
5.3125E-05,0.01103599
5.625E-05,0.01072506
5.9375E-05,0.010439
6.25E-05,0.01017468
6.875E-05,0.009701181
7.5E-05,0.009288175
8.125E-05,0.008923792
8.75E-05,0.008599182
9.375E-05,0.008307601
0.0001,0.008043801
0.00010625,0.007803635
0.0001125,0.007583772
0.00011875,0.007381503
0.000125,0.0071946
0.0001375,0.006859785
0.00015,0.006567746
0.0001625,0.006310089
0.000175,0.006080556
0.0001875,0.005874377
0.0002,0.005687844
0.00021875,0.005438622
0.0002375,0.005219529
0.00025625,0.005024947
0.000275,0.00485062
0.00029375,0.004693264
0.0003125,0.004550292
0.00033125,0.004419637
0.00035,0.004299626
0.0003875,0.004086292
0.000425,0.003901856
0.0004625,0.003740334
0.0005,0.003597342
0.00053125,0.003489937
0.0005625,0.003391613
0.00059375,0.003301156
0.000625,0.003217572
0.0006875,0.003067841
0.00075,0.002937239
0.0008125,0.002822013
0.000875,0.002719365
0.0009375,0.002627161
0.001,0.002543742
0.0010625,0.002467797
0.001125,0.002398272
0.0011875,0.002334311
0.00125,0.002275209
0.001375,0.002169334
0.0015,0.002076987
0.001625,0.001995511
0.00175,0.00192293
0.001875,0.001857733
0.002,0.001798748
0.0021875,0.001719941
0.002375,0.001650661
0.0025625,0.001589132
0.00275,0.001534008
0.0029375,0.00148425
0.003125,0.001439041
0.0033125,0.001397726
0.0035,0.001359778
0.003875,0.00129232
0.00425,0.001234
0.004625,0.001182926
0.005,0.001137711
0.0053125,0.001103749
0.005625,0.001072658
0.0059375,0.001044056
0.00625,0.001017626
0.006875,0.0009702796
0.0075,0.0009289824
0.008125,0.0008925469
0.00875,0.0008600884
0.009375,0.0008309323
0.01,0.0008045539
0.010625,0.0007805385
0.01125,0.0007585531
0.011875,0.0007383269
0.0125,0.0007196371
0.01375,0.0006861558
0.015,0.0006569513
0.01625,0.0006311843
0.0175,0.0006082293
0.01875,0.0005876091
0.02,0.0005689531
0.021325,0.0005509964
0.02265,0.0005346389
0.023975,0.0005196562
0.0253,0.000505866
0.02684375,0.0004911047
0.0283875,0.0004775638
0.031475,0.0004535335
0.0345625,0.0004327981
0.03765,0.0004146674
0.0407375,0.0003986378
0.043825,0.0003843326
0.0469125,0.0003714632
0.05,0.0003598044
0.053125,0.0003490542
0.05625,0.0003392123
0.059375,0.0003301577
0.0625,0.0003217908
0.06875,0.0003068017
0.075,0.0002937273
0.08125,0.0002821918
0.0875,0.0002719155
0.09375,0.0002626847
0.1,0.0002543336
0.10625,0.0002467306
0.1125,0.0002397706
0.11875,0.0002333676
0.125,0.0002274511
0.1375,0.0002168527
0.15,0.0002076087
0.1625,0.0001994531
0.175,0.0001921879
0.1875,0.0001856622
0.2,0.0001797584
0.21875,0.000171871
0.2375,0.0001649379
0.25625,0.0001587811
0.275,0.000153266
0.29375,0.0001482886
0.3125,0.000143767
0.33125,0.0001396355
0.35,0.0001358411
0.3875,0.0001290971
0.425,0.0001232672
0.5,0.0001136406
0.625,0.0001016277
0.75,9.276219E-05
0.875,8.588141E-05
1,8.033273E-05
1.25,7.182889E-05
