Incident energy,Cross section
1E-05,136.3983
1.0625E-05,132.328
1.125E-05,128.6018
1.1875E-05,125.1738
1.25E-05,122.0063
1.375E-05,116.3323
1.5E-05,111.3833
1.625E-05,107.0172
1.75E-05,103.1277
1.875E-05,99.63408
2E-05,96.47344
2.1875E-05,92.25079
2.375E-05,88.53881
2.5625E-05,85.24225
2.75E-05,82.28901
2.9375E-05,79.62338
3.125E-05,77.20153
3.3125E-05,74.98845
3.5E-05,72.95577
3.875E-05,69.34267
4.25E-05,66.21931
4.625E-05,63.48425
5E-05,61.06321
5.3125E-05,59.24487
5.625E-05,57.58038
5.9375E-05,56.04922
6.25E-05,54.6345
6.875E-05,52.10049
7.5E-05,49.8906
8.125E-05,47.94119
8.75E-05,46.20485
9.375E-05,44.64544
0.0001,43.23484
0.00010625,41.95082
0.0001125,40.77554
0.00011875,39.69449
0.000125,38.69573
0.0001375,36.907
0.00015,35.34731
0.0001625,33.9717
0.000175,32.74663
0.0001875,31.64658
0.0002,30.65166
0.00021875,29.32293
0.0002375,28.1554
0.00025625,27.119
0.000275,26.19094
0.00029375,25.35363
0.0003125,24.59326
0.00033125,23.89871
0.00035,23.26106
0.0003875,22.12838
0.000425,21.15009
0.0004625,20.29417
0.0005,19.53719
0.00053125,18.96911
0.0005625,18.44948
0.00059375,17.97182
0.000625,17.53081
0.0006875,16.74174
0.00075,16.05459
0.0008125,15.44932
0.000875,14.91099
0.0009375,14.42822
0.001,13.99215
0.0010625,13.59578
0.001125,13.2335
0.0011875,12.90075
0.00125,12.59378
0.001375,12.04516
0.0015,11.56817
0.001625,11.14867
0.00175,10.77614
0.001875,10.44258
0.002,10.14176
0.0021875,9.7414
0.002375,9.391101
0.0025625,9.081445
0.00275,8.805319
0.0029375,8.557229
0.003125,8.33286
0.0033125,8.128767
0.0035,7.942162
0.003875,7.612684
0.00425,7.330418
0.004625,7.085438
0.005,6.870495
0.0053125,6.710359
0.005625,6.564835
0.0059375,6.431928
0.00625,6.310004
0.006875,6.093902
0.0075,5.90807
0.008125,5.746397
0.00875,5.60435
0.009375,5.478483
0.01,5.366131
0.010625,5.265193
0.01125,5.173989
0.011875,5.091161
0.0125,5.015594
0.01375,4.882708
0.015,4.769603
0.01625,4.672164
0.0175,4.587349
0.01875,4.512864
0.02,4.446941
0.021325,4.38487
0.02265,4.329561
0.023975,4.279977
0.0253,4.235281
0.02684375,4.188473
0.0283875,4.146508
0.031475,4.074414
0.0345625,4.01475
0.03765,3.964591
0.0407375,3.921855
0.043825,3.885025
0.0469125,3.852967
0.05,3.824818
0.053125,3.799625
0.05625,3.777207
0.059375,3.757133
0.0625,3.739056
0.06875,3.707812
0.075,3.681762
0.08125,3.659712
0.0875,3.640808
0.09375,3.624424
0.1,3.610086
0.10625,3.597435
0.1125,3.586189
0.11875,3.576127
0.125,3.567071
0.1375,3.551428
0.15,3.538393
0.1625,3.527363
0.175,3.517909
0.1875,3.509715
0.2,3.502546
0.21875,3.493328
0.2375,3.485566
0.25625,3.478939
0.275,3.473216
0.29375,3.468224
0.3125,3.463831
0.33125,3.459935
0.35,3.456456
0.3875,3.450509
0.425,3.445612
0.5,3.438021
0.625,3.429417
0.75,3.423682
0.875,3.419585
1,3.416512
1.25,3.412211
1.5,3.409343
1.75,3.407294
2,3.405758
2.375,3.40406
2.75,3.402825
3.125,3.401887
3.5,3.401149
4.25,3.400065
5,3.399306
6.25,3.398445
7.5,3.397872
8.75,3.397462
10,3.397155
12.5,3.396725
15,3.396438
17.5,3.396233
20,3.396079
23.75,3.39591
27.5,3.395785
31.25,3.395691
35,3.395618
42.5,3.395509
50,3.395433
62.5,3.395347
75,3.39529
87.5,3.395248
