
Incident energy;Cross section
1.0E-5;21.86404
1.0625E-5;21.21198
1.125E-5;20.61501
1.1875E-5;20.06583
1.25E-5;19.55839
1.375E-5;18.64941
1.5E-5;17.85661
1.625E-5;17.1572
1.75E-5;16.53417
1.875E-5;15.97456
2.0E-5;15.46831
2.1875E-5;14.79198
2.375E-5;14.19747
2.5625E-5;13.66952
2.75E-5;13.19658
2.9375E-5;12.76972
3.125E-5;12.38191
3.3125E-5;12.02755
3.5E-5;11.70209
3.875E-5;11.12363
4.25E-5;10.62362
4.625E-5;10.18582
5.0E-5;9.798323
5.3125E-5;9.507315
5.625E-5;9.240952
5.9375E-5;8.995945
6.25E-5;8.769587
6.875E-5;8.364191
7.5E-5;8.010704
8.125E-5;7.698934
8.75E-5;7.421286
9.375E-5;7.171968
1.0E-4;6.946479
1.0625E-4;6.741258
1.125E-4;6.553447
1.1875E-4;6.380721
1.25E-4;6.22117
1.375E-4;5.935488
1.5E-4;5.686467
1.625E-4;5.466906
1.75E-4;5.271438
1.875E-4;5.095973
2.0E-4;4.937328
2.1875E-4;4.725539
2.375E-4;4.539534
2.5625E-4;4.374498
2.75E-4;4.226788
2.9375E-4;4.093584
3.125E-4;3.972673
3.3125E-4;3.862286
3.5E-4;3.76099
3.875E-4;3.581181
4.25E-4;3.426029
4.625E-4;3.290413
5.0E-4;3.170587
5.3125E-4;3.080741
5.625E-4;2.998624
6.25E-4;2.853611
6.875E-4;2.729249
7.5E-4;2.621121
8.125E-4;2.526024
8.75E-4;2.441574
9.375E-4;2.365956
0.001;2.297757
0.0010625;2.235863
0.001125;2.179377
0.00125;2.079855
0.001375;1.994763
0.0015;1.920999
0.001625;1.856317
0.00175;1.799047
0.001875;1.747915
0.002;1.701934
0.0021875;1.640955
0.002375;1.587826
0.0025625;1.541057
0.00275;1.499524
0.0029375;1.46236
0.003125;1.428884
0.0035;1.370931
0.003875;1.322436
0.00425;1.281203
0.004625;1.245679
0.005;1.214733
0.005625;1.171125
0.00625;1.135172
0.006875;1.105006
0.0075;1.079327
0.008125;1.057203
0.00875;1.037943
0.01;1.006055
0.01125;0.9807463
0.0125;0.9601852
0.01375;0.9431625
0.015;0.9288464
0.0175;0.9061297
0.02;0.8889373
0.02265;0.8747754
0.0253;0.8635387
0.0283875;0.8530676
0.031475;0.8446375
0.03765;0.8319104
0.043825;0.8227636
0.05;0.8158743
0.0625;0.8060944
0.075;0.7995744
0.0875;0.7949171
0.1;0.7914242
0.125;0.7865341
0.15;0.7832741
0.175;0.7809455
0.2;0.779199
0.275;0.7758649
0.35;0.7739596
0.425;0.7727268
0.5;0.7718639
0.625;0.7708859
0.75;0.7702339
0.875;0.7697681
1.0;0.7694188
1.25;0.7689298
1.5;0.7686038
1.75;0.7683709
2.0;0.7681962
2.75;0.7678628
3.5;0.7676723
4.25;0.7675489
5.0;0.7674626
6.25;0.7673647
7.5;0.7672994
8.75;0.7672528
10.0;0.7672178
12.5;0.7671688
15.0;0.767136
17.5;0.7671126
20.0;0.767095
27.5;0.7670612
35.0;0.7670418
42.5;0.767029
50.0;0.76702
62.5;0.7670095
75.0;0.7670024
87.5;0.766997
100.0;0.7669928
125.0;0.7669867
150.0;0.7669821
175.0;0.7669784
200.0;0.7669753
275.0;0.766968
350.0;0.7669622
425.0;0.766957
500.0;0.7669521
625.0;0.7669445
750.0;0.7669373
875.0;0.7669301
1000.0;0.7669232
1250.0;0.7669108
1500.0;0.7668984
1750.0;0.7668863
2000.0;0.7668742
2750.0;0.766838
3500.0;0.766802
4250.0;0.7667661
5000.0;0.7667302
6250.0;0.7666826
7500.0;0.766635
8750.0;0.7665874
10000.0;0.7665399
12500.0;0.7664867
15000.0;0.7664335
17500.0;0.7663803
20000.0;0.7663273
22500.0;0.7663628
25000.0;0.7663985
27500.0;0.7664341
30000.0;0.7664698
32500.0;0.7665055
35000.0;0.7665412
40000.0;0.7666129
45000.0;0.7669414
50000.0;0.7672702
55000.0;0.767599
60000.0;0.7679286
65000.0;0.7685413
70000.0;0.7691547
80000.0;0.7703823
90000.0;0.772237
100000.0;0.7740944
125000.0;0.7819307
150000.0;0.7897727
175000.0;0.8031982
200000.0;0.8166334
225000.0;0.837228
250000.0;0.8578367
275000.0;0.8876232
300000.0;0.9174297
325000.0;0.95899
350000.0;1.000578
400000.0;1.113826
450000.0;1.265362
500000.0;1.465204
550000.0;1.725178
600000.0;2.058383
625000.0;2.256575
650000.0;2.47782
675000.0;2.723236
700000.0;2.993483
725000.0;3.288553
750000.0;3.607553
775000.0;3.948488
800000.0;4.308064
825000.0;4.681566
850000.0;5.062843
875000.0;5.444437
900000.0;5.817899
925000.0;6.174272
950000.0;6.504713
975000.0;6.801158
1000000.0;7.056962
1050000.0;7.429856
1100000.0;7.611441
1125000.0;7.635433
1150000.0;7.620402
1200000.0;7.494053
1250000.0;7.274732
1300000.0;7.000338
1350000.0;6.700194
1400000.0;6.394712
1450000.0;6.096864
1500000.0;5.814137
1550000.0;5.550287
1600000.0;5.30668
1650000.0;5.083236
1700000.0;4.879061
1750000.0;4.69284
1800000.0;4.523092
1850000.0;4.36831
1900000.0;4.22704
1950000.0;4.097933
2000000.0;3.979749
2050000.0;3.871362
2100000.0;3.771794
2150000.0;3.68014
2200000.0;3.595609
2250000.0;3.517494
2300000.0;3.445172
2350000.0;3.378086
2400000.0;3.315742
2450000.0;3.257702
2500000.0;3.203572
2550000.0;3.153001
2600000.0;3.105676
2650000.0;3.061314
2700000.0;3.019662
2750000.0;2.980492
2800000.0;2.943596
2850000.0;2.908788
2900000.0;2.875899
2950000.0;2.844774
3000000.0;2.815274
3100000.0;2.760646
3200000.0;2.711118
3300000.0;2.665939
3400000.0;2.624474
3500000.0;2.586186
3600000.0;2.550618
3700000.0;2.517384
3800000.0;2.486151
3900000.0;2.456638
4000000.0;2.428604
4100000.0;2.401843
4200000.0;2.376181
4300000.0;2.351468
4400000.0;2.32758
4500000.0;2.304408
4600000.0;2.281863
4700000.0;2.259869
4800000.0;2.238362
4900000.0;2.217288
5000000.0;2.196604
5200000.0;2.156262
5400000.0;2.117111
5600000.0;2.078997
5800000.0;2.04182
6000000.0;2.005512
6200000.0;1.970029
6400000.0;1.935342
6600000.0;1.901429
6800000.0;1.868275
7000000.0;1.835869
7200000.0;1.804197
7400000.0;1.773248
7600000.0;1.743011
7800000.0;1.713472
8000000.0;1.684619
8200000.0;1.656437
8400000.0;1.628911
8600000.0;1.602026
8800000.0;1.575768
9000000.0;1.550119
9200000.0;1.525064
9400000.0;1.500587
9600000.0;1.476674
9800000.0;1.453307
1.0E7;1.430473
1.05E7;1.375618
1.1E7;1.323776
1.15E7;1.274742
1.2E7;1.22833
1.25E7;1.18437
1.3E7;1.142709
1.35E7;1.103206
1.4E7;1.065739
1.45E7;1.030193
1.5E7;0.9964684
1.55E7;0.9644728
1.6E7;0.9341243
1.65E7;0.9053494
1.7E7;0.8780824
1.75E7;0.8522655
1.8E7;0.827849
1.85E7;0.8047928
1.9E7;0.7830687
1.95E7;0.7626678
2.0E7;0.7436169
