
Incident energy;Cross section
1.0E-5;9276.807
1.0625E-5;8999.814
1.125E-5;8746.236
1.1875E-5;8512.95
1.25E-5;8297.386
1.375E-5;7911.227
1.5E-5;7574.404
1.625E-5;7277.234
1.75E-5;7012.5
1.875E-5;6774.701
2.0E-5;6559.56
2.1875E-5;6272.115
2.375E-5;6019.419
2.5625E-5;5794.991
2.75E-5;5593.926
2.9375E-5;5412.432
3.125E-5;5247.527
3.3125E-5;5096.83
3.5E-5;4958.409
3.875E-5;4712.347
4.25E-5;4499.614
4.625E-5;4313.308
5.0E-5;4148.375
5.3125E-5;4024.49
5.625E-5;3911.076
5.9375E-5;3806.737
6.25E-5;3710.324
6.875E-5;3537.61
7.5E-5;3386.96
8.125E-5;3254.044
8.75E-5;3135.635
9.375E-5;3029.271
1.0E-4;2933.041
1.0625E-4;2845.431
1.125E-4;2765.226
1.1875E-4;2691.438
1.25E-4;2623.255
1.375E-4;2501.11
1.5E-4;2394.568
1.625E-4;2300.566
1.75E-4;2216.823
1.875E-4;2141.598
2.0E-4;2073.538
2.1875E-4;1982.603
2.375E-4;1902.658
2.5625E-4;1831.653
2.75E-4;1768.037
2.9375E-4;1710.611
3.125E-4;1658.432
3.3125E-4;1610.747
3.5E-4;1566.945
3.875E-4;1489.076
4.25E-4;1421.749
4.625E-4;1362.782
5.0E-4;1310.575
5.3125E-4;1271.359
5.625E-4;1235.455
5.9375E-4;1202.423
6.25E-4;1171.898
6.875E-4;1117.211
7.5E-4;1069.505
8.125E-4;1027.41
8.75E-4;989.9056
9.375E-4;956.2134
0.001;925.7278
0.0010625;897.97
0.001125;872.5557
0.0011875;849.1723
0.00125;827.5627
0.001375;788.8437
0.0015;755.0625
0.001625;725.2499
0.00175;698.6839
0.001875;674.8142
0.002;653.2129
0.0021875;624.3429
0.002375;598.9541
0.0025625;576.3983
0.00275;556.1846
0.0029375;537.9333
0.003125;521.345
0.0033125;506.1806
0.0035;492.246
0.003875;467.4582
0.00425;446.0069
0.004625;427.2034
0.005;410.5453
0.0053125;398.0272
0.005625;386.5634
0.0059375;376.0131
0.00625;366.26
0.006875;348.7726
0.0075;333.4962
0.008125;319.9973
0.00875;307.9559
0.009375;297.1286
0.01;287.3259
0.010625;278.3971
0.01125;270.2201
0.011875;262.6941
0.0125;255.7348
0.01375;243.2458
0.015;232.3196
0.01625;222.6546
0.0175;214.0286
0.01875;206.2691
0.02;199.2397
0.021325;192.4649
0.02265;186.2855
0.023975;180.6188
0.0253;175.3975
0.02684375;169.8026
0.0283875;164.6669
0.02993125;159.9335
0.031475;155.5516
0.03379063;149.5388
0.03610625;144.0941
0.03842188;139.1367
0.0407375;134.6028
0.04305313;130.437
0.04536875;126.5929
0.04768438;123.0314
0.05;119.7202
0.053125;115.6003
0.05625;111.8303
0.059375;108.3651
0.0625;105.1684
0.065625;102.2127
0.06875;99.4727
0.075;94.5244
0.08125;90.16767
0.0875;86.31479
0.09375;82.88629
0.1;79.8188
0.10625;77.06221
0.1125;74.57632
0.11875;72.32857
0.125;70.29227
0.13125;68.44538
0.1375;66.7696
0.14375;65.24966
0.15;63.87301
0.15625;62.63146
0.1625;61.52064
0.175;59.63092
0.1875;58.14704
0.2;57.04642
0.2126437;56.31698
0.2252873;55.97871
0.23477;55.98343
0.2442527;56.22039
0.2537354;56.70497
0.2632181;57.4584
0.2727008;58.50898
0.2821835;59.89365
0.2916662;61.66012
0.3011488;63.86931
0.3079975;65.78161
0.3148461;67.9973
0.3216947;70.56352
0.3285433;73.54181
0.335392;77.00175
0.3422406;81.02475
0.3456649;83.2786
0.3490892;85.71393
0.3525135;88.34809
0.3559378;91.20066
0.361206;96.0676
0.3664741;101.5994
0.3691082;104.6499
0.3717423;107.9119
0.3743764;111.404
0.3770104;115.1468
0.3796445;119.1634
0.3822786;123.4795
0.3849127;128.1241
0.3875467;133.1299
0.3901808;138.5345
0.3928149;144.3803
0.395449;150.7158
0.398083;157.596
0.4009805;165.8693
0.403878;174.9746
0.4067755;185.0242
0.409673;196.149
0.4125705;208.5031
0.415468;222.2685
0.4183655;237.6617
0.4198143;246.0477
0.421263;254.9406
0.4227118;264.3817
0.4241605;274.4141
0.4256093;285.0873
0.427058;296.4532
0.4285068;308.5717
0.4299555;321.5053
0.4314043;335.3263
0.432853;350.1102
0.4343018;365.9445
0.4357505;382.9204
0.4371993;401.143
0.438648;420.722
0.4400968;441.7828
0.4415455;464.456
0.4429942;488.8875
0.4444429;515.2329
0.4460234;546.3537
0.4476038;580.1773
0.4491843;616.9483
0.4507647;656.9096
0.4523452;700.3152
0.4539256;747.4022
0.4555061;798.4025
0.4570865;853.5053
0.4581402;892.6019
0.4591938;933.6174
0.4606692;994.3077
0.4621446;1058.771
0.46362;1126.898
0.4650954;1198.48
0.4665708;1273.192
0.4680462;1350.579
0.4695216;1430.048
0.4709969;1510.858
0.4727389;1606.806
0.4744808;1701.718
0.4762228;1793.71
0.4779647;1880.717
0.4797067;1960.616
0.4814486;2031.287
0.4831906;2090.749
0.4849325;2137.24
0.4861994;2162.081
0.4874663;2178.891
0.4887332;2187.387
0.49;2187.429
0.49125;2179.188
0.4925;2162.858
0.49375;2138.709
0.495;2107.133
0.49625;2068.632
0.4975;2023.801
0.5;1917.879
0.505135;1654.773
0.5096029;1408.61
0.5140708;1174.508
0.5185387;968.2164
0.5230066;795.6316
0.5252406;721.8817
0.5274745;655.9097
0.5297085;597.0965
0.5319424;544.7793
0.5341764;498.2786
0.5364103;456.9485
0.5408782;387.4261
0.5437478;350.4539
0.5466173;318.3886
0.5494868;290.4644
0.5523563;266.0422
0.5552258;244.5903
0.5580953;225.6668
0.5638343;193.9971
0.5695734;168.7656
0.5753124;148.3754
0.5810514;131.6757
0.5867904;117.8253
0.593486;104.4527
0.6001815;93.41651
0.606877;84.21071
0.6135725;76.45977
0.6202681;69.87741
0.6269636;64.24408
0.6336591;59.39083
0.6403546;55.18575
0.6537457;48.30077
0.6671367;42.91122
0.6805278;38.60927
0.6939188;35.13971
0.7130489;31.25525
0.732179;28.29256
0.7513091;26.01504
0.7704391;24.24861
0.7895692;22.82357
0.8086993;21.70062
0.8469594;20.15336
0.8775676;19.44264
0.9081757;19.11573
0.9311318;19.10207
0.9540879;19.28472
0.977044;19.67186
1.0;20.27481
1.02108;21.05636
1.04216;22.10654
1.06324;23.47794
1.084319;25.25664
1.105399;27.57051
1.115939;28.98195
1.126479;30.60307
1.137019;32.48026
1.147559;34.67638
1.158099;37.26961
1.168638;40.3603
1.178593;43.86122
1.188547;48.09347
1.198502;53.29107
1.208456;59.79449
1.213434;63.69076
1.218411;68.13099
1.223388;73.23342
1.228365;79.15029
1.233342;86.08045
1.238319;94.28599
1.243296;104.115
1.248273;116.0315
1.253251;130.6547
1.258228;148.7825
1.263205;171.4295
1.265694;184.8202
1.268182;199.7952
1.270671;216.5292
1.273159;235.1635
1.278136;278.6775
1.283113;330.9685
1.28809;391.6691
1.297458;520.8095
1.303094;597.6269
1.308729;662.7639
1.314365;706.9868
1.317183;718.9979
1.32;723.5966
1.324419;715.7631
1.328838;690.8311
1.333257;651.8424
1.337675;603.0393
1.347643;480.7605
1.352627;424.1289
1.35761;375.3624
1.362594;335.9914
1.367577;306.311
1.372561;285.8113
1.377544;273.6775
1.381279;269.5703
1.384547;269.2421
1.387814;271.8409
1.391082;277.3283
1.394349;285.7407
1.397617;297.2096
1.400884;311.9484
1.404152;330.289
1.407419;352.6549
1.411154;383.882
1.414888;422.1349
1.418623;468.6967
1.422357;525.011
1.426092;592.7295
1.429826;673.4821
1.43356;768.823
1.437294;879.9145
1.441681;1031.14
1.446068;1203.59
1.450455;1393.402
1.454841;1593.42
1.459228;1793.345
1.463615;1980.105
1.468002;2139.38
1.472388;2257.448
1.476194;2317.943
1.48;2334.684
1.485075;2287.282
1.49015;2166.466
1.494934;1998.803
1.499718;1796.376
1.504502;1577.447
1.509285;1358.59
1.514069;1152.54
1.518852;967.6871
1.523636;807.9459
1.528419;673.9193
1.531495;600.5236
1.534571;536.2501
1.537647;480.2034
1.540722;431.4682
1.543798;389.1037
1.546873;352.2867
1.549949;320.2203
1.553024;292.2409
1.5561;267.7339
1.559175;246.2034
1.565326;210.3683
1.571477;182.0084
1.577628;159.1975
1.58334;141.7871
1.589052;127.1987
1.594764;114.8498
1.600475;104.3038
1.606187;95.22171
1.611898;87.34684
1.61761;80.47206
1.623321;74.43722
1.634744;64.38358
1.646167;56.39894
1.65759;49.94564
1.669013;44.65311
1.68483;38.77611
1.700647;34.17397
1.716464;30.53107
1.732281;27.63016
1.748098;25.32264
1.763915;23.50948
1.779732;22.13038
1.795548;21.15966
1.809607;20.64761
1.823666;20.50519
1.834211;20.68907
1.844756;21.1899
1.855301;22.11249
1.865845;23.6316
1.871118;24.70145
1.87639;26.04732
1.881662;27.74402
1.886934;29.89189
1.892207;32.62546
1.897479;36.11908
1.902751;40.59534
1.908023;46.32143
1.912856;52.92256
1.917689;61.05077
1.922522;70.89143
1.927355;82.53514
1.932188;95.91512
1.937021;110.7467
1.946686;142.3206
1.9502;153.3201
1.95515;167.1456
1.9601;177.9301
1.96505;184.6426
1.97;186.604
1.97495;183.608
1.9799;175.9578
1.98485;164.4078
1.9898;150.0273
2.0;116.5653
2.005531;98.88461
2.011061;82.86586
2.016591;69.01941
2.022121;57.48444
2.027651;48.13504
2.033181;40.69521
2.038711;34.83317
2.044241;30.22463
2.050526;26.15179
2.05681;23.00226
2.063094;20.52751
2.069378;18.54892
2.075663;16.93955
2.081947;15.61012
2.088231;14.4962
2.094515;13.55122
2.107084;12.03848
2.119652;10.88394
2.13222;9.974027
2.144788;9.23786
2.158362;8.586014
2.171936;8.046575
2.199084;7.206997
2.226232;6.576422
2.253379;6.080483
2.280527;5.681418
2.307674;5.355134
2.361969;4.85475
2.416265;4.474379
2.47056;4.184571
2.524855;3.960344
2.57915;3.786255
2.6435;3.631444
2.70785;3.523205
2.7722;3.455971
2.83655;3.427381
2.943275;3.468079
3.05;3.64231
3.103663;3.780613
3.157326;3.975302
3.210989;4.243193
3.264652;4.604832
3.318315;5.095985
3.345147;5.406758
3.371978;5.772531
3.39881;6.203214
3.425641;6.717813
3.452473;7.345251
3.479304;8.117162
3.503358;8.967381
3.527411;10.01405
3.551464;11.32132
3.575517;12.98038
3.587544;13.98267
3.59957;15.13122
3.611597;16.45817
3.623623;18.00407
3.63565;19.82141
3.647676;21.97792
3.659703;24.5648
3.671729;27.70603
3.683004;31.30973
3.694279;35.76175
3.705554;41.36745
3.711192;44.7403
3.716829;48.59408
3.722467;53.03272
3.728104;58.1866
3.733742;64.22893
3.739379;71.38139
3.745017;79.93981
3.750654;90.28433
3.756291;102.9127
3.761928;118.4584
3.767942;139.1528
3.773955;165.2257
3.776962;180.6987
3.779968;198.0284
3.782975;217.4116
3.785981;239.0189
3.791995;289.6274
3.798008;350.9935
3.804021;423.7158
3.810034;507.4792
3.817551;625.2328
3.825068;751.495
3.832558;876.1024
3.840047;987.3667
3.847536;1072.631
3.855025;1121.148
3.86;1129.668
3.866219;1112.694
3.872438;1066.711
3.879927;979.0697
3.887416;866.6995
3.894905;742.2137
3.902394;617.413
3.908018;529.1623
3.913641;448.6479
3.919265;377.3691
3.924888;315.9041
3.930512;264.0194
3.936135;220.9955
3.941759;185.7754
3.947382;157.2116
3.952303;136.7679
3.957223;119.8356
3.962144;105.7839
3.967064;94.08495
3.971985;84.2893
3.976905;76.03756
3.981826;69.03345
3.986746;63.04611
3.991667;57.88759
3.996587;53.41302
4.006428;46.0694
4.016269;40.33788
4.02611;35.77981
4.038763;31.18462
4.051416;27.64588
4.064069;24.904
4.076721;22.79178
4.089374;21.2044
4.102027;20.0868
4.11468;19.43118
4.127332;19.2889
4.137173;19.61962
4.147014;20.47119
4.151935;21.15352
4.156855;22.05204
4.161776;23.21052
4.166696;24.67988
4.171617;26.51969
4.176537;28.79432
4.181458;31.57315
4.186378;34.92229
4.191299;38.90279
4.196219;43.55697
4.20114;48.9055
4.20606;54.92971
4.213793;65.60108
4.221525;77.27415
4.229257;89.11963
4.236989;100.0436
4.242742;106.8587
4.248495;112.0308
4.254248;115.1832
4.26;116.0743
4.26505;114.9293
4.2701;112.0425
4.27515;107.5732
4.2802;101.7631
4.287868;91.06009
4.295535;79.12079
4.303202;67.04448
4.310869;55.71306
4.319084;45.04933
4.323192;40.39996
4.327299;36.22372
4.331407;32.50929
4.335514;29.23643
4.339622;26.37257
4.343729;23.88262
4.347837;21.72628
4.351944;19.86524
4.356052;18.26066
4.360159;16.87801
4.364267;15.68459
4.368374;14.65261
4.376588;12.97671
4.382339;12.04395
4.388089;11.26227
4.39959;10.03426
4.411091;9.120153
4.422591;8.417244
4.434092;7.862658
4.445593;7.416748
4.468594;6.754952
4.491596;6.30623
4.514597;6.006732
4.537599;5.820993
4.5606;5.729613
4.59565;5.762083
4.614271;5.874588
4.632891;6.070539
4.651512;6.373632
4.670132;6.823125
4.688753;7.488665
4.698063;7.939707
4.707373;8.50247
4.716683;9.216004
4.725993;10.13882
4.735303;11.35977
4.739958;12.12183
4.744613;13.01353
4.752281;14.83928
4.756115;15.95871
4.759948;17.24533
4.763782;18.72547
4.767615;20.42633
4.771449;22.37869
4.775282;24.61258
4.779116;27.16037
4.782949;30.0507
4.786783;33.31211
4.790616;36.96502
4.79445;41.02624
4.798283;45.49891
4.80595;55.64157
4.836619;103.4352
4.842715;111.1537
4.84881;117.058
4.854905;120.7297
4.861;121.8993
4.866;120.9248
4.871;118.2577
4.876;114.0347
4.881;108.4642
4.891227;94.01298
4.901454;77.57907
4.911681;61.49828
4.916794;54.13577
4.921907;47.4055
4.926323;42.15531
4.930739;37.44435
4.935155;33.26711
4.939571;29.60139
4.943987;26.41309
4.948403;23.66045
4.952819;21.29788
4.957235;19.27887
4.961651;17.55833
4.966067;16.0941
4.970483;14.84795
4.974899;13.78599
4.979315;12.87883
4.983731;12.10132
4.992563;10.85398
5.0;10.04576
5.008893;9.289108
5.017785;8.700599
5.026677;8.236164
5.035569;7.865652
5.053354;7.327848
5.071138;6.97904
5.094851;6.708605
5.118563;6.592813
5.151168;6.614602
5.183773;6.800321
5.216378;7.129256
5.248982;7.600597
5.281587;8.22862
5.314191;9.042201
5.346796;10.08804
5.3794;11.43734
5.403113;12.6693
5.426825;14.17769
5.450538;16.04515
5.47425;18.38921
5.497963;21.38733
5.509819;23.2127
5.521675;25.3162
5.533532;27.75883
5.545388;30.61851
5.557244;33.99818
5.5691;38.0356
5.581698;43.25965
5.594295;49.76695
5.606893;58.05004
5.613192;63.0831
5.61949;68.88077
5.625789;75.6202
5.632088;83.52819
5.638387;92.90139
5.644685;104.124
5.650984;117.6994
