Incident energy;
Incident energy;
Incident energy;?(E)
1.0E-5;1.094476
1.0625E-5;1.061796
1.125E-5;1.031878
1.1875E-5;1.004355
1.25E-5;0.9789224
1.375E-5;0.9333628
1.5E-5;0.8936239
1.625E-5;0.8585632
1.75E-5;0.8273295
1.875E-5;0.7992736
2.0E-5;0.7738908
2.1875E-5;0.7399775
2.375E-5;0.7101639
2.5625E-5;0.6836854
2.75E-5;0.6599633
2.9375E-5;0.6385502
3.125E-5;0.6190944
3.3125E-5;0.6013146
3.5E-5;0.5849834
3.875E-5;0.5559522
4.25E-5;0.5308533
4.625E-5;0.5088723
5.0E-5;0.4894129
5.3125E-5;0.4747963
5.625E-5;0.4614153
5.9375E-5;0.4491049
6.25E-5;0.4377297
6.875E-5;0.417352
7.5E-5;0.3995775
8.125E-5;0.3838952
8.75E-5;0.3699246
9.375E-5;0.3573751
1.0E-4;0.3460212
1.0625E-4;0.3356843
1.125E-4;0.326221
1.1875E-4;0.3175149
1.25E-4;0.3094701
1.375E-4;0.2950583
1.5E-4;0.2824873
1.625E-4;0.2713959
1.75E-4;0.2615148
1.875E-4;0.2526388
2.0E-4;0.2446082
2.1875E-4;0.2338783
2.375E-4;0.224445
2.5625E-4;0.2160666
2.75E-4;0.20856
2.9375E-4;0.2017838
3.125E-4;0.1956266
3.3125E-4;0.1899996
3.5E-4;0.1848307
3.875E-4;0.1756417
4.25E-4;0.1676966
4.625E-4;0.1607378
5.0E-4;0.1545767
5.3125E-4;0.1499485
5.625E-4;0.1457112
5.9375E-4;0.1418127
6.25E-4;0.13821
6.875E-4;0.1317555
7.5E-4;0.1261248
8.125E-4;0.1211561
8.75E-4;0.1167292
9.375E-4;0.112752
0.001;0.1091533
0.0010625;0.1058764
0.001125;0.1028761
0.0011875;0.1001154
0.00125;0.09756409
0.001375;0.0929925
0.0015;0.0890036
0.001625;0.08548306
0.00175;0.08234569
0.001875;0.07952653
0.002;0.0769751
0.0021875;0.07356482
0.002375;0.07056542
0.0025625;0.06790043
0.00275;0.06551189
0.0029375;0.063355
0.003125;0.06139442
0.0033125;0.05960193
0.0035;0.05795464
0.003875;0.05502385
0.00425;0.05248699
0.004625;0.05026278
0.005;0.04829192
0.0053125;0.04681057
0.005625;0.04545373
0.0059375;0.04420479
0.00625;0.04305001
0.006875;0.04097892
0.0075;0.03916904
0.008125;0.03756916
0.00875;0.03614151
0.009375;0.03485734
0.01;0.03369427
0.010625;0.0326345
0.01125;0.03166361
0.011875;0.03076969
0.0125;0.02994278
0.01375;0.02845802
0.015;0.02715812
0.01625;0.02600743
0.0175;0.02497969
0.01875;0.02405451
0.02;0.02321576
0.021325;0.02240678
0.02265;0.02166831
0.023975;0.02099057
0.0253;0.02036559
0.02684375;0.01969531
0.0283875;0.01907947
0.02993125;0.0185113
0.031475;0.01798482
0.03379063;0.01726151
0.03610625;0.01660558
0.03842188;0.01600746
0.0407375;0.01545959
0.04305313;0.01495541
0.04536875;0.01448939
0.04768438;0.01405693
0.05;0.01365417
0.053125;0.01315199
0.05625;0.01269135
0.059375;0.01226686
0.0625;0.01187421
0.065625;0.01151012
0.06875;0.01117159
0.075;0.01055745
0.08125;0.0100132
0.0875;0.00952835
0.09375;0.009093364
0.1;0.008700629
0.10625;0.008344098
0.1125;0.008018905
0.11875;0.007721081
0.125;0.007447353
0.13125;0.007194995
0.1375;0.006961719
0.14375;0.006745587
0.15;0.006544977
0.15625;0.006358725
0.1625;0.006186073
0.175;0.005874289
0.1875;0.005601637
0.2;0.005363766
0.2126437;0.005155366
0.2252873;0.004977007
0.23477;0.004861306
0.2442527;0.004760476
0.2537354;0.004674263
0.2632181;0.004602684
0.2727008;0.004546048
0.2821835;0.00450499
0.2916662;0.004480534
0.3011488;0.004474152
0.3079975;0.00448184
0.3148461;0.004500847
0.3216947;0.004532518
0.3285433;0.00457867
0.335392;0.00464134
0.3422406;0.004722919
0.3456649;0.004771724
0.3490892;0.00482647
0.3525135;0.004887678
0.3559378;0.004955938
0.361206;0.005076292
0.3664741;0.005217813
0.3691082;0.005297583
0.3717423;0.005384022
0.3743764;0.005477694
0.3770104;0.005579224
0.3796445;0.005689321
0.3822786;0.005808767
0.3849127;0.005938446
0.3875467;0.006079354
0.3901808;0.006232643
0.3928149;0.006399608
0.395449;0.00658173
0.398083;0.00678069
0.4009805;0.007021316
0.403878;0.007287608
0.4067755;0.007582995
0.409673;0.007911483
0.4125705;0.008277788
0.415468;0.008687481
0.4183655;0.009147183
0.4198143;0.009398206
0.421263;0.009664788
0.4227118;0.0099482
0.4241605;0.01024975
0.4256093;0.01057097
0.427058;0.01091344
0.4285068;0.01127898
0.4299555;0.01166953
0.4314043;0.01208728
0.432853;0.01253455
0.4343018;0.01301403
0.4357505;0.01352849
0.4371993;0.01408116
0.438648;0.0146754
0.4400968;0.01531505
0.4415455;0.0160041
0.4429942;0.01674702
