Incident energy;Cross section
1.0E-5;61.19251
1.0625E-5;59.47428
1.125E-5;57.90423
1.1875E-5;56.46252
1.25E-5;55.13283
1.375E-5;52.75742
1.5E-5;50.6932
1.625E-5;48.87875
1.75E-5;47.26833
1.875E-5;45.82709
2.0E-5;44.52797
2.1875E-5;42.80012
2.375E-5;41.28946
2.5625E-5;39.95509
2.75E-5;38.7661
2.9375E-5;37.69864
3.125E-5;36.73395
3.3125E-5;35.85707
3.5E-5;35.05592
3.875E-5;33.64288
4.25E-5;32.43403
4.625E-5;31.38633
5.0E-5;30.46834
5.3125E-5;29.78528
5.625E-5;29.16522
5.9375E-5;28.59954
6.25E-5;28.08116
6.875E-5;27.1638
7.5E-5;26.37655
8.125E-5;25.69301
8.75E-5;25.0936
9.375E-5;24.56346
1.0E-4;24.0911
1.0625E-4;23.66746
1.125E-4;23.28533
1.1875E-4;22.93886
1.25E-4;22.62327
1.375E-4;22.06953
1.5E-4;21.59957
1.625E-4;21.19578
1.75E-4;20.84518
1.875E-4;20.53799
2.0E-4;20.26669
2.1875E-4;19.91452
2.375E-4;19.61512
2.5625E-4;19.35759
2.75E-4;19.13382
2.9375E-4;18.93766
3.125E-4;18.76435
3.3125E-4;18.61016
3.5E-4;18.47212
3.875E-4;18.23542
4.25E-4;18.03989
4.625E-4;17.87573
5.0E-4;17.73599
5.3125E-4;17.6345
5.625E-4;17.54421
5.9375E-4;17.46338
6.25E-4;17.3906
6.875E-4;17.26478
7.5E-4;17.15984
8.125E-4;17.07097
8.75E-4;16.99472
9.375E-4;16.92858
0.001;16.87065
0.0010625;16.81948
0.001125;16.77395
0.0011875;16.73316
0.00125;16.6964
0.001375;16.6328
0.0015;16.57964
0.001625;16.53452
0.00175;16.49572
0.001875;16.46197
0.002;16.43232
0.0021875;16.39402
0.002375;16.36154
0.0025625;16.33363
0.00275;16.30933
0.0029375;16.28797
0.003125;16.26901
0.0033125;16.25204
0.0035;16.23674
0.003875;16.2102
0.00425;16.18787
0.004625;16.16873
0.005;16.15205
0.0053125;16.13967
0.005625;16.12841
0.0059375;16.1181
0.00625;16.1086
0.006875;16.09159
0.0075;16.07668
0.008125;16.06338
0.00875;16.05135
0.009375;16.04034
0.01;16.03016
0.010625;16.02066
0.01125;16.01173
0.011875;16.00328
0.0125;15.99524
0.01375;15.98017
0.015;15.96617
0.01625;15.953
0.0175;15.94049
0.01875;15.92851
0.02;15.91697
0.021325;15.90512
0.02265;15.89362
0.023975;15.88241
0.0253;15.87144
0.02684375;15.85894
0.0283875;15.84668
0.02993125;15.83464
0.031475;15.82278
0.03379063;15.80531
0.03610625;15.78815
0.03842188;15.77126
0.0407375;15.7546
0.04305313;15.73816
0.04536875;15.7219
0.04768438;15.70581
0.05;15.68988
0.053125;15.66859
0.05625;15.64753
0.059375;15.62669
0.0625;15.60603
0.065625;15.58555
0.06875;15.56524
0.075;15.52506
0.08125;15.4854
0.0875;15.44622
0.09375;15.40747
0.1;15.36911
0.10625;15.33109
0.1125;15.29337
0.11875;15.25593
0.125;15.21873
0.13125;15.18175
0.1375;15.14494
0.14375;15.10829
0.15;15.07176
0.15625;15.03532
0.1625;14.99895
0.175;14.92625
0.1875;14.85342
0.2;14.78019
0.2126437;14.70542
0.2252873;14.62956
0.23477;14.57174
0.2442527;14.51291
0.2537354;14.45287
0.2632181;14.39139
0.2727008;14.32819
0.2821835;14.26296
0.2916662;14.19535
0.3011488;14.12495
0.3079975;14.0721
0.3148461;14.01737
0.3216947;13.96049
0.3285433;13.90114
0.335392;13.839
0.3422406;13.77372
0.3456649;13.73977
0.3490892;13.70488
0.3525135;13.66897
0.3559378;13.63198
0.361206;13.5728
0.3664741;13.51058
0.3691082;13.47823
0.3717423;13.44499
0.3743764;13.41081
0.3770104;13.37565
0.3796445;13.33944
0.3822786;13.30213
