Incident energy;Cross section
1.0E-5;12844.31
1.0625E-5;12460.8
1.125E-5;12109.71
1.1875E-5;11786.72
1.25E-5;11488.27
1.375E-5;10953.62
1.5E-5;10487.28
1.625E-5;10075.84
1.75E-5;9709.308
1.875E-5;9380.071
2.0E-5;9082.203
2.1875E-5;8684.23
2.375E-5;8334.369
2.5625E-5;8023.646
2.75E-5;7745.269
2.9375E-5;7493.989
3.125E-5;7265.679
3.3125E-5;7057.037
3.5E-5;6865.395
3.875E-5;6524.722
4.25E-5;6230.196
4.625E-5;5972.259
5.0E-5;5743.912
5.3125E-5;5572.395
5.625E-5;5415.378
5.9375E-5;5270.924
6.25E-5;5137.445
6.875E-5;4898.33
7.5E-5;4689.763
8.125E-5;4505.75
8.75E-5;4341.821
9.375E-5;4194.57
1.0E-4;4061.349
1.0625E-4;3940.061
1.125E-4;3829.026
1.1875E-4;3726.876
1.25E-4;3632.485
1.375E-4;3463.394
1.5E-4;3315.903
1.625E-4;3185.775
1.75E-4;3069.849
1.875E-4;2965.717
2.0E-4;2871.505
2.1875E-4;2745.629
2.375E-4;2634.969
2.5625E-4;2536.686
2.75E-4;2448.633
2.9375E-4;2369.149
3.125E-4;2296.93
3.3125E-4;2230.931
3.5E-4;2170.309
3.875E-4;2062.541
4.25E-4;1969.368
4.625E-4;1887.768
5.0E-4;1815.527
5.3125E-4;1761.263
5.625E-4;1711.586
5.9375E-4;1665.884
6.25E-4;1623.653
6.875E-4;1547.998
7.5E-4;1482.008
8.125E-4;1423.786
8.75E-4;1371.918
9.375E-4;1325.327
0.001;1283.175
0.0010625;1244.799
0.001125;1209.667
0.0011875;1177.347
0.00125;1147.482
0.001375;1093.981
0.0015;1047.315
0.001625;1006.144
0.00175;969.4666
0.001875;936.5219
0.002;906.7176
0.0021875;866.901
0.002375;831.9041
0.0025625;800.83
0.00275;772.9991
0.0029375;747.8858
0.003125;725.0759
0.0033125;704.2382
0.0035;685.1044
0.003875;651.106
0.00425;621.7315
0.004625;596.0277
0.005;573.2993
0.0053125;556.2508
0.005625;540.6656
0.0059375;526.3487
0.00625;513.1388
0.006875;489.5241
0.0075;468.9831
0.008125;450.9148
0.00875;434.8756
0.009375;420.528
0.01;407.6086
0.010625;395.9083
0.01125;385.2573
0.011875;375.5152
0.0125;366.5648
0.01375;350.6611
0.015;336.9414
0.01625;324.9843
0.0175;314.4788
0.01875;305.1834
0.02;296.9065
0.021325;289.0758
0.02265;282.0743
0.023975;275.7876
0.0253;270.124
0.02684375;264.2105
0.0283875;258.9338
0.03108907;250.9581
0.03379063;244.2906
0.03649219;238.7057
0.03919375;234.0261
0.04189532;230.1081
0.04459688;226.8392
0.04729844;224.1307
0.05;221.912
0.053125;219.8824
0.05625;218.3641
0.059375;217.3095
0.0625;216.6782
0.06875;216.4829
0.075;217.5407
0.08125;219.7576
0.0875;223.0579
0.09375;227.4025
0.1;232.7836
0.10625;239.2201
0.1125;246.7546
0.11875;255.4525
0.125;265.4023
0.13125;276.717
0.1375;289.5368
0.14375;304.0322
0.15;320.4092
0.15625;338.9118
0.1625;359.8147
0.16875;383.4443
0.171875;396.4231
0.175;410.2692
0.178125;425.0518
0.18125;440.8407
0.184375;457.7112
0.1875;475.7473
0.190625;495.0426
0.19375;515.7003
0.196875;537.8338
0.2;561.5669
0.2029732;585.7555
0.2059463;611.6397
0.2089194;639.3562
0.2118925;669.0506
0.2148657;700.8798
0.2178388;735.0068
0.2208119;771.607
0.223785;810.8623
0.2278843;869.6866
0.2319836;934.4051
0.2360829;1005.487
0.2401822;1083.339
0.2442815;1168.245
0.2483808;1260.28
0.2504305;1308.915
0.2524801;1359.211
0.2545298;1411.071
0.2565794;1464.354
0.2586441;1519.289
0.2607087;1575.255
0.2627734;1631.975
0.264838;1689.104
0.2669027;1746.254
0.2689673;1802.965
0.271032;1858.735
0.2730966;1912.999
0.2751613;1965.159
0.2772259;2014.573
0.2813552;2102.541
0.2834199;2139.788
0.2854845;2171.716
0.2875492;2197.771
0.2896138;2217.47
0.2926169;2234.009
0.29562;2235.534
0.2976847;2227.736
0.2997493;2212.814
0.301814;2190.98
0.3038786;2162.565
0.3059433;2128.002
0.3080079;2087.818
0.3100726;2042.602
0.3121372;1992.999
0.3162665;1883.317
0.3203958;1764.133
0.3245251;1640.435
0.3286544;1516.471
0.3316575;1428.092
0.3352964;1324.578
0.3389353;1226.135
0.3425742;1133.55
0.3462131;1047.24
0.349852;967.3275
0.3534909;893.7238
0.3571298;826.1914
0.3607687;764.3978
0.3641274;712.1226
0.367486;664.0887
0.3708447;619.9702
0.3742033;579.4542
0.377562;542.2364
0.3809206;508.0345
0.3842793;476.5818
0.3876379;447.6356
0.3909966;420.9697
0.3943552;396.381
0.3977139;373.6821
0.4010725;352.7059
0.4044312;333.2986
0.4077898;315.3235
0.4111485;298.6541
0.4145071;283.1773
0.4177131;269.4198
0.4209191;256.5709
0.4241251;244.5558
0.4273311;233.3073
0.4305371;222.765
0.4337431;212.8747
0.4369491;203.5873
0.440155;194.8583
0.443361;186.6461
0.446567;178.9132
0.449773;171.625
0.452979;164.7498
0.456185;158.2583
0.459391;152.1238
0.462597;146.3218
0.4658029;140.8299
0.4700776;133.9544
0.4743522;127.5504
0.4786269;121.5793
0.4829015;116.0073
0.4871762;110.8031
0.4914508;105.9373
0.5;97.10437
0.515625;83.46273
0.53125;72.36857
0.546875;63.2868
0.5625;55.77597
0.578125;49.50146
0.59375;44.21175
0.609375;39.71523
0.625;35.86405
0.640625;32.54277
0.65625;29.66044
0.671875;27.14788
0.6875;24.9625
0.71875;21.30759
0.75;18.38742
0.78125;16.03993
0.8125;14.12662
0.84375;12.54794
0.875;11.23104
0.90625;10.12169
0.9375;9.178865
0.96875;8.371089
1.0;7.673931
1.03125;7.068284
1.0625;6.543727
1.125;5.670307
1.1875;4.976474
1.25;4.419841
1.3125;3.966319
1.375;3.591744
1.4375;3.278616
1.5;3.014028
1.5625;2.788289
1.625;2.595299
1.75;2.280524
1.875;2.036049
2.0;1.843426
2.1875;1.621697
2.375;1.455617
2.5625;1.328404
2.75;1.229109
2.9375;1.150627
3.125;1.088199
3.3125;1.038566
3.5;0.9996929
3.875;0.9474946
4.25;0.9241771
4.625;0.9282249
5.0;0.9622411
5.260035;1.008612
5.520069;1.079253
5.682591;1.14088
5.845112;1.220414
6.007634;1.323897
6.170155;1.460305
6.251416;1.541782
6.332677;1.639724
6.413938;1.755119
6.495198;1.892023
6.576459;2.056119
6.65772;2.255147
6.738981;2.499888
6.820241;2.805643
6.882541;3.093046
6.944841;3.439336
7.007141;3.871834
7.069441;4.416661
7.131741;5.115529
7.162891;5.541834
7.194041;6.033523
7.225191;6.604454
7.256341;7.271617
7.287491;8.057513
7.318641;8.995247
7.348437;10.07666
7.378232;11.39139
7.408028;13.01056
7.437823;15.0359
7.452721;16.24518
7.467619;17.61712
7.482517;19.18236
7.497414;20.979
7.512312;23.05571
7.52721;25.47485
7.542108;28.31844
7.557005;31.69551
7.571903;35.75414
7.586801;40.6967
7.601699;46.80665
7.616597;54.48955
7.624046;59.09637
7.631495;64.3383
7.638944;70.335
7.646393;77.23249
7.653842;85.20832
7.661291;94.47683
7.66874;105.2939
7.676188;117.958
7.685669;137.3011
7.695149;160.9954
7.70463;189.8935
7.71411;224.7932
7.720882;253.7539
7.727654;286.2144
7.734426;322.1488
7.741197;361.3423
7.747969;403.3789
7.75474;447.5727
7.761512;493.0073
7.768283;538.4972
7.778847;606.2803
7.789411;665.0279
7.799975;708.9931
7.810538;733.4739
7.8158;737.4518
7.826325;728.4518
7.83685;697.9844
7.849435;638.2349
7.862019;561.4661
7.874604;477.4797
7.887188;395.0108
7.897125;335.1512
7.907061;281.9587
7.916998;236.1639
7.926934;197.7145
7.936871;166.0109
7.946807;140.1882
7.956744;119.2838
7.96668;102.3856
7.974525;91.33798
7.98237;81.94343
7.990215;73.91696
7.998059;67.02287
8.005904;61.06536
8.013748;55.88783
8.021593;51.36046
8.029437;47.38004
8.037282;43.86059
8.045126;40.73358
8.060815;35.43743
8.076504;31.14432
8.092193;27.61295
8.106837;24.85189
8.12148;22.50201
8.136123;20.48524
8.150766;18.7415
8.16541;17.22372
8.180053;15.89487
8.209339;13.68974
8.238626;11.94654
8.267912;10.54264
8.297199;9.393963
8.326485;8.443018
8.359956;7.545504
8.393426;6.806155
8.426897;6.190804
8.460367;5.674362
8.493838;5.238404
8.527308;4.868517
8.594248;4.276721
8.661189;3.829978
8.728129;3.491883
8.79507;3.235245
8.86201;3.041138
8.945686;2.866853
9.029362;2.753738
9.113038;2.69397
9.196713;2.670119
9.297124;2.693036
9.397535;2.769377
9.497946;2.900457
9.598357;3.089556
9.698768;3.353507
9.799179;3.715157
9.849385;3.940795
9.89959;4.203231
9.949795;4.509088
10.0;4.866607
10.05194;5.304185
10.10388;5.828374
10.15582;6.461193
10.20775;7.23167
10.25969;8.180283
10.28566;8.740307
10.31163;9.371383
10.3376;10.08604
10.36357;10.89911
10.38954;11.82892
10.4155;12.89821
10.44634;14.39132
10.47718;16.18849
10.50802;18.37775
10.53886;21.08025
10.55428;22.67453
10.5697;24.46594
10.58512;26.48781
10.60054;28.78097
10.61596;31.39563
10.63138;34.39369
10.6468;37.85146
10.66221;41.86004
10.67844;46.80683
10.69467;52.66054
10.7109;59.62384
10.72713;67.93973
10.74088;76.25094
10.75462;85.91167
10.76836;97.11133
10.7821;110.0093
10.79585;124.7168
10.80959;141.2057
10.82333;159.319
10.83707;178.6765
10.84844;195.1956
10.85981;211.6521
10.88254;241.923
10.89391;254.4
10.90527;264.2145
10.91664;270.838
10.928;273.8755
10.94013;272.9717
10.95832;263.8215
10.9765;246.6497
10.9941;224.6087
11.01169;199.7727
11.02928;174.4361
11.04687;150.3702
11.06446;128.6824
11.08205;109.8713
11.09964;93.98323
11.11723;80.78928
11.12959;72.94
11.14194;66.11642
11.15429;60.18199
11.16664;55.0171
11.17899;50.51497
11.19134;46.58225
11.21604;40.11523
11.24075;35.10475
11.26545;31.19186
11.29015;28.11897
11.31485;25.7065
11.34779;23.30237
11.38073;21.64633
11.41367;20.61492
11.4466;20.14647
11.47954;20.2332
11.51248;20.92498
11.54542;22.34472
11.56189;23.39489
11.57835;24.72722
11.59976;26.98801
11.62117;30.03641
11.63188;31.95092
11.64258;34.1951
11.65329;36.84801
11.66399;40.00396
11.6747;43.80262
11.6854;48.41886
11.69611;54.11117
11.70681;61.21117
11.71752;70.19837
11.72822;81.67862
11.73358;88.61515
11.73893;96.4841
11.74428;105.4306
11.74963;115.5996
11.75705;132.019
11.76446;151.5006
11.77187;174.511
11.77928;201.4772
11.78669;232.7694
11.7941;268.6545
11.80151;309.2445
11.80892;354.4416
11.81428;389.8158
11.81963;427.117
11.83033;506.3337
11.84104;588.6429
11.85174;669.0413
11.86052;729.6582
11.86929;781.8861
11.87806;822.7507
11.88683;849.7287
11.89428;860.4212
11.898;861.3575
11.90918;846.4984
11.91729;819.9244
11.9254;781.6375
11.93351;733.6589
11.94162;678.3858
11.95313;592.4333
11.96464;504.0247
11.97615;419.1517
11.98191;379.4317
11.98766;342.1403
11.99399;304.1131
12.00032;269.4396
12.00665;238.1776
12.01298;210.2736
12.01931;185.587
12.02564;163.9138
12.03197;145.0083
12.03829;128.6266
12.04405;115.6355
12.0498;104.3018
12.05556;94.39209
12.06131;85.76058
12.06707;78.21204
12.07282;71.62453
12.07858;65.84349
12.08433;60.77389
12.09009;56.29804
12.09584;52.3456
12.1016;48.82923
12.10735;45.69874
12.11311;42.89023
