Incident energy;Cross section
1.0E-5;31.02125
1.0625E-5;30.15063
1.125E-5;29.35512
1.1875E-5;28.62465
1.25E-5;27.95095
1.375E-5;26.74744
1.5E-5;25.70163
1.625E-5;24.78238
1.75E-5;23.96653
1.875E-5;23.23642
2.0E-5;22.57831
2.1875E-5;21.70305
2.375E-5;20.93785
2.5625E-5;20.26197
2.75E-5;19.65975
2.9375E-5;19.11911
3.125E-5;18.63055
3.3125E-5;18.18648
3.5E-5;17.78077
3.875E-5;17.06524
4.25E-5;16.45315
4.625E-5;15.9227
5.0E-5;15.45797
5.3125E-5;15.11219
5.625E-5;14.79832
5.9375E-5;14.512
6.25E-5;14.24963
6.875E-5;13.78537
7.5E-5;13.38701
8.125E-5;13.04116
8.75E-5;12.73791
9.375E-5;12.46973
1.0E-4;12.2308
1.0625E-4;12.01655
1.125E-4;11.8233
1.1875E-4;11.6481
1.25E-4;11.48853
1.375E-4;11.20858
1.5E-4;10.97103
1.625E-4;10.76695
1.75E-4;10.58978
1.875E-4;10.43457
2.0E-4;10.2975
2.1875E-4;10.11961
2.375E-4;9.968391
2.5625E-4;9.83834
2.75E-4;9.725351
2.9375E-4;9.626312
3.125E-4;9.538818
3.3125E-4;9.460986
3.5E-4;9.391314
3.875E-4;9.27185
4.25E-4;9.173185
4.625E-4;9.090357
5.0E-4;9.019853
5.3125E-4;8.968655
5.625E-4;8.923115
5.9375E-4;8.882346
6.25E-4;8.845637
6.875E-4;8.782191
7.5E-4;8.729281
8.125E-4;8.68448
8.75E-4;8.646051
9.375E-4;8.612722
0.001;8.583536
0.0010625;8.557763
0.001125;8.534833
0.0011875;8.514297
0.00125;8.495797
0.001375;8.463793
0.0015;8.437062
0.001625;8.414387
0.00175;8.394899
0.001875;8.377959
0.002;8.363091
0.0021875;8.343894
0.002375;8.327639
0.0025625;8.313679
0.00275;8.301545
0.0029375;8.290885
0.003125;8.281435
0.0033125;8.272989
0.0035;8.265384
0.003875;8.252208
0.00425;8.241143
0.004625;8.231672
0.005;8.223435
0.0053125;8.217322
0.005625;8.211768
0.0059375;8.206685
0.00625;8.202
0.006875;8.193602
0.0075;8.186224
0.008125;8.17962
0.00875;8.173617
0.009375;8.168088
0.01;8.162937
0.010625;8.158091
0.01125;8.153493
0.011875;8.149099
0.0125;8.144873
0.01375;8.136818
0.015;8.129157
0.01625;8.12177
0.0175;8.114575
0.01875;8.10751
0.02;8.100533
0.021325;8.093196
0.02265;8.08589
0.023975;8.078592
0.0253;8.071284
0.02684375;8.062738
0.0283875;8.054146
0.03108907;8.038971
0.03379063;8.023584
0.03649219;8.00795
0.03919375;7.992043
0.04189532;7.975848
0.04459688;7.959353
0.04729844;7.94255
0.05;7.92543
0.053125;7.905222
0.05625;7.884567
0.059375;7.863443
0.0625;7.841834
0.06875;7.797215
0.075;7.750673
0.08125;7.702074
0.0875;7.651325
0.09375;7.598329
0.1;7.542986
0.10625;7.485197
0.1125;7.424861
0.11875;7.361883
0.125;7.296175
0.13125;7.227662
0.1375;7.156294
0.14375;7.082051
0.15;7.004966
0.15625;6.92514
0.1625;6.842782
0.16875;6.758234
0.171875;6.715285
0.175;6.671992
0.178125;6.628461
0.18125;6.584828
0.184375;6.541255
0.1875;6.497935
0.190625;6.455098
0.19375;6.413017
0.196875;6.372017
0.2;6.332486
0.2029732;6.296659
0.2059463;6.263046
0.2089194;6.232195
0.2118925;6.204747
0.2148657;6.181452
