
Incident energy; Cross section
1.0E-5;22609.05
1.0625E-5;21933.85
1.125E-5;21315.72
1.1875E-5;20747.06
1.25E-5;20221.59
1.375E-5;19280.27
1.5E-5;18459.19
1.625E-5;17734.78
1.75E-5;17089.42
1.875E-5;16509.72
2.0E-5;15985.25
2.1875E-5;15284.5
2.375E-5;14668.46
2.5625E-5;14121.33
2.75E-5;13631.14
2.9375E-5;13188.65
3.125E-5;12786.61
3.3125E-5;12419.2
3.5E-5;12081.71
3.875E-5;11481.76
4.25E-5;10963.07
4.625E-5;10508.79
5.0E-5;10106.61
5.3125E-5;9804.513
5.625E-5;9527.945
5.9375E-5;9273.501
6.25E-5;9038.378
6.875E-5;8617.16
7.5E-5;8249.732
8.125E-5;7925.539
8.75E-5;7636.712
9.375E-5;7377.255
1.0E-4;7142.502
1.0625E-4;6928.766
1.125E-4;6733.084
1.1875E-4;6553.05
1.25E-4;6386.681
1.375E-4;6088.619
1.5E-4;5828.601
1.625E-4;5599.164
1.75E-4;5394.742
1.875E-4;5211.094
2.0E-4;5044.921
2.1875E-4;4822.864
2.375E-4;4627.612
2.5625E-4;4454.167
2.75E-4;4298.746
2.9375E-4;4158.425
3.125E-4;4030.904
3.3125E-4;3914.346
3.5E-4;3807.263
3.875E-4;3616.849
4.25E-4;3452.163
4.625E-4;3307.877
5.0E-4;3180.094
5.3125E-4;3084.078
5.625E-4;2996.149
5.9375E-4;2915.231
6.25E-4;2840.436
6.875E-4;2706.385
7.5E-4;2589.385
8.125E-4;2486.095
8.75E-4;2394.022
9.375E-4;2311.266
0.001;2236.348
0.0010625;2168.101
0.001125;2105.584
0.0011875;2048.035
0.00125;1994.826
0.001375;1899.421
0.0015;1816.103
0.001625;1742.504
0.00175;1676.859
0.001875;1617.822
0.002;1564.347
0.0021875;1492.798
0.002375;1429.793
0.0025625;1373.746
0.00275;1323.457
0.0029375;1277.996
0.003125;1236.633
0.0033125;1198.782
0.0035;1163.968
0.0036875;1131.8
0.003875;1101.955
0.00425;1048.195
0.004625;1000.988
0.005;959.0929
0.0053125;927.5597
0.005625;898.6425
0.0059375;871.9952
0.00625;847.3316
0.006875;803.0383
0.0075;764.2714
0.008125;729.9592
0.00875;699.3089
0.009375;671.7158
0.01;646.7067
0.010625;623.9055
0.01125;603.0096
0.011875;583.7721
0.0125;565.9881
0.013125;549.4846
0.01375;534.1137
0.015;506.2849
0.01625;481.7087
0.0175;459.8155
0.01875;440.1751
0.02;422.4459
0.021325;405.4334
0.02265;389.995
0.023975;375.9181
0.0253;363.0281
0.02665079;350.9579
0.02800157;339.8412
0.02935235;329.5711
0.03070313;320.0583
0.03340469;303.0135
0.03610625;288.2239
0.03880782;275.3005
0.04150938;263.9149
0.04421094;253.8363
0.0469125;244.8988
0.05;235.9005
0.053125;227.9396
0.05625;220.9826
0.059375;214.9083
0.0625;209.6173
0.065625;205.0279
0.06875;201.0724
0.071875;197.6946
0.075;194.8478
0.078125;192.4932
0.08125;190.5987
0.084375;189.139
0.0875;188.0957
0.090625;187.4566
0.09375;187.2057
0.1;187.781
0.1034509;188.7016
0.1069018;190.0639
0.1103527;191.8676
