Incident energy;Cross section
1.0E-5;52877.49
1.0625E-5;51298.61
1.125E-5;49853.2
1.1875E-5;48523.46
1.25E-5;47294.74
1.375E-5;45093.61
1.5E-5;43173.7
1.625E-5;41479.81
1.75E-5;39970.81
1.875E-5;38615.34
2.0E-5;37389.01
2.1875E-5;35750.55
2.375E-5;34310.16
2.5625E-5;33030.9
2.75E-5;31884.8
2.9375E-5;30850.27
3.125E-5;29910.29
3.3125E-5;29051.29
3.5E-5;28262.28
3.875E-5;26859.68
4.25E-5;25647.07
4.625E-5;24585.1
5.0E-5;23644.95
5.3125E-5;22938.77
5.625E-5;22292.29
5.9375E-5;21697.54
6.25E-5;21147.96
6.875E-5;20163.44
7.5E-5;19304.7
8.125E-5;18547.03
8.75E-5;17872.06
9.375E-5;17265.75
1.0E-4;16717.21
1.0625E-4;16217.79
1.125E-4;15760.59
1.1875E-4;15339.96
1.25E-4;14951.29
1.375E-4;14255.0
1.5E-4;13647.65
1.625E-4;13111.78
1.75E-4;12634.39
1.875E-4;12205.56
2.0E-4;11817.57
2.1875E-4;11299.17
2.375E-4;10843.41
2.5625E-4;10438.62
2.75E-4;10075.94
2.9375E-4;9748.556
3.125E-4;9451.078
3.3125E-4;9179.216
3.5E-4;8929.489
3.875E-4;8485.531
4.25E-4;8101.671
4.625E-4;7765.465
5.0E-4;7467.799
5.3125E-4;7244.195
5.625E-4;7039.477
5.9375E-4;6851.126
6.25E-4;6677.071
6.875E-4;6365.234
7.5E-4;6093.197
8.125E-4;5853.151
8.75E-4;5639.277
9.375E-4;5447.137
0.001;5273.279
0.0010625;5114.975
0.001125;4970.032
0.0011875;4836.669
0.00125;4713.42
0.001375;4492.582
0.0015;4299.9
0.001625;4129.848
0.00175;3978.308
0.001875;3842.143
0.002;3718.913
0.0021875;3554.208
0.002375;3409.353
0.0025625;3280.657
0.00275;3165.322
0.0029375;3061.188
0.003125;2966.551
0.0033125;2880.048
0.0035;2800.576
0.0036875;2727.227
0.003875;2659.249
0.00425;2536.995
0.004625;2429.865
0.005;2334.979
0.0053125;2263.688
0.005625;2198.413
0.0059375;2138.352
0.00625;2082.844
0.006875;1983.363
0.0075;1896.525
0.008125;1819.856
0.00875;1751.529
0.009375;1690.151
0.01;1634.634
0.010625;1584.114
0.01125;1537.899
0.011875;1495.421
0.0125;1456.214
0.013125;1419.88
0.01375;1386.085
0.015;1325.005
0.01625;1271.172
0.0175;1223.295
0.01875;1180.402
0.02;1141.724
0.021325;1104.638
0.02265;1071.001
0.023975;1040.338
0.0253;1012.261
0.02665079;985.9643
0.02800157;961.7345
0.02935235;939.3361
0.03070313;918.5722
0.03340469;881.3103
0.03610625;848.8924
0.03880782;820.4737
0.04150938;795.3447
0.04421094;773.0085
0.0469125;753.1085
0.05;732.9618
0.053125;715.0187
0.05625;699.2206
0.059375;685.3097
0.0625;673.0753
0.065625;662.3438
0.06875;652.9709
0.071875;644.8363
0.075;637.8392
0.078125;631.8951
0.08125;626.9331
0.084375;622.8951
0.0875;619.7373
0.090625;617.4273
0.09375;615.9248
0.1;615.126
0.1034509;615.8956
0.1069018;617.5324
0.1103527;620.019
0.1138035;623.3278
0.1172544;627.4396
0.1207052;632.3422
