Incident energy,Cross section
1E-05,43.5797
1.0625E-05,42.35722
1.125E-05,41.24021
1.1875E-05,40.21454
1.25E-05,39.2686
1.375E-05,37.57881
1.5E-05,36.11046
1.625E-05,34.81987
1.75E-05,33.67446
1.875E-05,32.64944
2E-05,31.72555
2.1875E-05,30.49685
2.375E-05,29.42269
2.5625E-05,28.47396
2.75E-05,27.62866
2.9375E-05,26.86982
3.125E-05,26.1841
3.3125E-05,25.56086
3.5E-05,24.99148
3.875E-05,23.98733
4.25E-05,23.12843
4.625E-05,22.38414
5E-05,21.73209
5.3125E-05,21.24697
5.625E-05,20.80665
5.9375E-05,20.405
6.25E-05,20.03698
6.875E-05,19.3858
7.5E-05,18.82709
8.125E-05,18.34209
8.75E-05,17.91687
9.375E-05,17.54086
0.0001,17.20589
0.00010625,16.90553
0.0001125,16.63464
0.00011875,16.38907
0.000125,16.16541
0.0001375,15.77308
0.00015,15.44019
0.0001625,15.15424
0.000175,14.90601
0.0001875,14.68856
0.0002,14.49655
0.00021875,14.24734
0.0002375,14.03552
0.00025625,13.85335
0.000275,13.69507
0.00029375,13.55633
0.0003125,13.43376
0.00033125,13.32471
0.00035,13.22709
0.0003875,13.05968
0.000425,12.92137
0.0004625,12.80523
0.0005,12.70633
0.00053125,12.63448
0.0005625,12.57055
0.00059375,12.5133
0.000625,12.46172
0.0006875,12.37252
0.00075,12.29806
0.0008125,12.23494
0.000875,12.18073
0.0009375,12.13366
0.001,12.09238
0.0010625,12.05588
0.001125,12.02335
0.0011875,11.99418
0.00125,11.96785
0.001375,11.92219
0.0015,11.8839
0.001625,11.85129
0.00175,11.82314
0.001875,11.79856
0.002,11.77688
0.0021875,11.74871
0.002375,11.72466
0.0025625,11.70382
0.00275,11.68555
0.0029375,11.66935
0.003125,11.65485
0.0033125,11.64175
0.0035,11.62985
0.0036875,11.61894
0.003875,11.6089
0.00425,11.59093
0.004625,11.57523
0.005,11.56128
0.0053125,11.55072
0.005625,11.54098
0.0059375,11.53191
0.00625,11.52342
0.006875,11.50787
0.0075,11.49382
0.008125,11.48094
0.00875,11.46899
0.009375,11.45778
0.01,11.44719
0.010625,11.43711
0.01125,11.42745
0.011875,11.41816
0.0125,11.40919
0.013125,11.40049
0.01375,11.39202
0.015,11.37572
0.01625,11.36009
0.0175,11.34501
0.01875,11.3304
0.02,11.31617
0.021325,11.30146
0.02265,11.28708
0.023975,11.27298
0.0253,11.25914
0.02665079,11.24527
0.02800157,11.23161
0.02935235,11.21814
0.03070313,11.20485
0.03340469,11.17874
0.03610625,11.1532
0.03880782,11.12814
0.04150938,11.1035
0.04421094,11.07922
0.0469125,11.05528
0.05,11.02827
0.053125,11.00127
0.05625,10.97457
0.059375,10.94813
0.0625,10.92192
0.065625,10.89591
0.06875,10.87007
0.071875,10.84438
0.075,10.81881
0.078125,10.79336
0.08125,10.768
0.084375,10.74273
0.0875,10.71753
0.090625,10.69241
0.09375,10.66735
0.1,10.61747
0.1034509,10.59008
0.1069018,10.56283
0.1103527,10.53576
0.1138035,10.50891
0.1172544,10.48234
0.1207052,10.45609
0.1241561,10.43025
0.1276069,10.40487
0.1345087,10.35574
0.1414104,10.30893
0.1483121,10.26427
0.1552138,10.22124
0.1590717,10.1978
0.1629295,10.17486
0.1667873,10.1527
0.1706451,10.13171
0.1745029,10.11249
0.1783607,10.09579
0.1822185,10.08251
0.1860763,10.0737
0.1895573,10.0706
0.1930382,10.07315
0.1965191,10.08249
0.2,10.0999
0.2027194,10.12002
0.2054388,10.14667
0.2108775,10.2229
0.2163163,10.33528
0.221755,10.49013
