Incident energy,Cross section
1E-05,373.5524
1.0625E-05,362.399
1.125E-05,352.1884
1.1875E-05,342.795
1.25E-05,334.1151
1.375E-05,318.5661
1.5E-05,305.0037
1.625E-05,293.0379
1.75E-05,282.3783
1.875E-05,272.8032
2E-05,264.1404
2.1875E-05,252.5664
2.375E-05,242.3915
2.5625E-05,233.3549
2.75E-05,225.2591
2.9375E-05,217.9513
3.125E-05,211.3114
3.3125E-05,205.2436
3.5E-05,199.6702
3.875E-05,189.7627
4.25E-05,181.1972
4.625E-05,173.6959
5E-05,167.0551
5.3125E-05,162.0671
5.625E-05,157.5007
5.9375E-05,153.2997
6.25E-05,149.4179
6.875E-05,142.464
7.5E-05,136.3985
8.125E-05,131.0471
8.75E-05,126.2799
9.375E-05,121.9976
0.0001,118.1234
0.00010625,114.5962
0.0001125,111.3672
0.00011875,108.3966
0.000125,105.6516
0.0001375,100.7343
0.00015,96.44521
0.0001625,92.66105
0.000175,89.28991
0.0001875,86.26175
0.0002,83.5221
0.00021875,79.8617
0.0002375,76.64378
0.00025625,73.78582
0.000275,71.22534
0.00029375,68.91408
0.0003125,66.81406
0.00033125,64.89495
0.00035,63.13217
0.0003875,59.99854
0.000425,57.28934
0.0004625,54.91665
0.0005,52.81613
0.00053125,51.23835
0.0005625,49.79394
0.00059375,48.46509
0.000625,47.23718
0.0006875,45.03748
0.00075,43.11878
0.0008125,41.42593
0.000875,39.91784
0.0009375,38.56317
0.001,37.33755
0.0010625,36.22171
0.001125,35.20018
0.0011875,34.26038
0.00125,33.39194
0.001375,31.83617
0.0015,30.47907
0.001625,29.28163
0.00175,28.21482
0.001875,27.25646
0.002,26.38935
0.0021875,25.23075
0.002375,24.21214
0.0025625,23.30746
0.00275,22.49695
0.0029375,21.76532
0.003125,21.10055
0.0033125,20.493
0.0035,19.93489
0.003875,18.94248
0.00425,18.08413
0.004625,17.33215
0.005,16.66632
0.0053125,16.1662
0.005625,15.7084
0.0059375,15.28726
0.00625,14.8981
0.006875,14.20077
0.0075,13.59211
0.008125,13.05471
0.00875,12.57571
0.009375,12.14534
0.01,11.75599
0.010625,11.4016
0.01125,11.07728
0.011875,10.77898
0.0125,10.50334
0.01375,10.00914
0.015,9.577332
0.01625,9.195816
0.0175,8.855686
0.01875,8.55004
0.02,8.273422
0.021325,8.007077
0.02265,7.764354
0.023975,7.541952
0.0253,7.337181
0.02684375,7.117924
0.0283875,6.916805
0.02993125,6.731544
0.031475,6.560125
0.0345625,6.251795
0.03765,5.981135
0.0407375,5.741366
0.043825,5.527162
0.0469125,5.334267
0.05,5.15934
0.053125,4.997879
0.05625,4.849955
0.059375,4.713959
0.0625,4.588493
0.06875,4.362881
0.075,4.164799
0.08125,3.989609
0.0875,3.833222
0.09375,3.692459
0.1,3.564845
0.10625,3.448426
0.1125,3.34164
0.11875,3.243319
0.125,3.152761
0.1375,2.989537
0.15,2.845937
0.1625,2.718801
0.175,2.605163
0.1875,2.502766
0.2,2.41016
0.21875,2.285788
0.2375,2.175625
0.25625,2.077396
0.275,1.989059
0.29375,1.909038
0.3125,1.836088
0.33125,1.769214
0.35,1.707608
0.36875,1.650607
0.3875,1.597662
0.40625,1.548316
0.425,1.502418
0.5,1.344249
0.5625,1.236682
0.625,1.145154
0.75,0.9974933
0.875,0.8831141
1,0.7913841
1.125,0.7157856
1.25,0.6525001
1.375,0.5987242
1.5,0.5524677
1.75,0.4771495
2,0.4184312
2.1875,0.3822413
2.375,0.351369
2.5625,0.3247381
2.75,0.3016397
3.125,0.2635135
3.5,0.2335002
3.875,0.20947
4.25,0.1899277
4.625,0.1738309
5,0.1604373
5.365991,0.1495035
5.731982,0.1402312
6.463963,0.1255102
7.195944,0.1148315
7.561935,0.1110153
7.927925,0.1092032
8.014522,0.1099472
8.101118,0.1128394
8.144416,0.1165702
8.166065,0.1199392
8.187714,0.1256156
8.198539,0.1301231
8.209363,0.1366151
8.220188,0.1462488
8.231012,0.160778
8.236425,0.1706279
8.241837,0.1826926
8.247249,0.1973985
8.252661,0.2152008
8.258074,0.2365722
8.263486,0.2619613
8.268898,0.291784
8.27431,0.3263691
8.280437,0.3715189
8.286564,0.4230477
8.292691,0.4806125
8.298818,0.5434394
8.323326,0.8157066
8.33313,0.9113314
8.342933,0.98335
8.350667,1.017599
8.3584,1.028832
8.367683,1.010795
8.376965,0.9605875
8.38333,0.9104386
8.389695,0.8504295
8.402425,0.7126357
8.419929,0.5198706
8.428681,0.4347672
8.437432,0.3615109
8.446184,0.3010708
8.45056,0.2755732
8.454935,0.2530484
8.459311,0.2332942
8.463687,0.2160952
8.468063,0.2012148
8.472438,0.1884135
8.477212,0.1765322
8.481986,0.1665416
8.491533,0.1511592
8.50108,0.1403844
8.510627,0.1327825
8.520175,0.1273222
8.529722,0.1232978
8.548816,0.1178456
8.587005,0.1118456
8.625194,0.1085442
8.701572,0.1049868
8.77795,0.1030436
9.083463,0.0993715
9.388975,0.09774447
10,0.095265
10.77663,0.09420829
11.79595,0.09578957
12.30561,0.09773225
12.56044,0.09992771
12.68786,0.101259
12.81527,0.1042511
12.87292,0.1074745
12.90174,0.1105756
12.91615,0.113048
12.93056,0.1166987
12.94497,0.1223373
12.95938,0.1312714
12.96659,0.1375616
12.97379,0.1454522
12.981,0.1553145
12.9882,0.1674998
12.99541,0.1824344
13.00261,0.2004578
13.00982,0.221959
13.01702,0.247136
13.02423,0.276193
13.03143,0.309016
13.04584,0.3849279
13.06708,0.5110816
13.0777,0.5723787
13.08831,0.6261461
13.09741,0.662695
13.1065,0.687678
13.1187,0.7000766
13.12816,0.6920962
13.13761,0.6694121
13.15103,0.6156873
13.16445,0.5442238
13.1829,0.4347229
13.19212,0.3815529
13.20134,0.3323529
13.21057,0.2884573
13.21979,0.2506808
13.22901,0.2191179
13.23823,0.1934712
13.24494,0.1781932
13.25165,0.1654486
13.25836,0.1549287
13.26507,0.1463239
13.27849,0.1337003
13.2919,0.1255337
13.30532,0.1202586
13.31873,0.1168066
13.34556,0.1128396
13.39923,0.1094693
13.45289,0.1081441
13.56022,0.1075177
13.84197,0.1092106
14.12371,0.1118353
14.68719,0.1194459
15.25067,0.1295029
15.81415,0.1429327
16.09589,0.151022
16.37763,0.1606769
16.65937,0.1715531
16.94111,0.1842063
17.22285,0.1995602
17.50459,0.217116
17.78633,0.2381573
18.06807,0.2632652
18.30957,0.2896185
18.55106,0.3213237
18.79255,0.3599601
19.03404,0.4077601
19.27553,0.4679997
19.51702,0.5454711
19.63777,0.5921417
19.75851,0.6472047
19.87926,0.7118553
20,0.7884688
20.11217,0.8732262
