Incident energy;Cross section
1.0E-5;50.27091
1.0625E-5;48.85757
1.125E-5;47.56608
1.1875E-5;46.38012
1.25E-5;45.28626
1.375E-5;43.33204
1.5E-5;41.6337
1.625E-5;40.14076
1.75E-5;38.81559
1.875E-5;37.62955
2.0E-5;36.56038
2.1875E-5;35.13825
2.375E-5;33.89475
2.5625E-5;32.79625
2.75E-5;31.81732
2.9375E-5;30.93835
3.125E-5;30.14393
3.3125E-5;29.42175
3.5E-5;28.76187
3.875E-5;27.59783
4.25E-5;26.60179
4.625E-5;25.73838
5.0E-5;24.98172
5.3125E-5;24.4186
5.625E-5;23.90734
5.9375E-5;23.44085
6.25E-5;23.01331
6.875E-5;22.25654
7.5E-5;21.60692
8.125E-5;21.04273
8.75E-5;20.54786
9.375E-5;20.11006
1.0E-4;19.71989
1.0625E-4;19.36988
1.125E-4;19.0541
1.1875E-4;18.76772
1.25E-4;18.50681
1.375E-4;18.0489
1.5E-4;17.66013
1.625E-4;17.32598
1.75E-4;17.03577
1.875E-4;16.78142
2.0E-4;16.55674
2.1875E-4;16.265
2.375E-4;16.01691
2.5625E-4;15.80346
2.75E-4;15.61796
2.9375E-4;15.45532
3.125E-4;15.31161
3.3125E-4;15.18374
3.5E-4;15.06926
3.875E-4;14.87295
4.25E-4;14.71079
4.625E-4;14.57466
5.0E-4;14.4588
5.3125E-4;14.37466
5.625E-4;14.29984
5.9375E-4;14.23286
6.25E-4;14.17257
6.875E-4;14.06839
7.5E-4;13.98155
8.125E-4;13.90806
8.75E-4;13.84506
9.375E-4;13.79045
0.001;13.74267
0.0010625;13.7005
0.001125;13.66302
0.0011875;13.62948
0.00125;13.59929
0.001375;13.54714
0.0015;13.50367
0.001625;13.46688
0.00175;13.43534
0.001875;13.408
0.002;13.38407
0.0021875;13.35328
0.002375;13.32735
0.0025625;13.3052
0.00275;13.28606
0.0029375;13.26935
0.003125;13.25464
0.0033125;13.24158
0.0035;13.22992
0.003875;13.20995
0.00425;13.19347
0.004625;13.17965
0.005;13.16787
0.0053125;13.15931
0.005625;13.15168
0.0059375;13.14485
0.00625;13.13868
0.006875;13.12799
0.0075;13.11904
0.008125;13.11142
0.00875;13.10486
0.009375;13.09913
0.01;13.09409
0.010625;13.08961
0.01125;13.0856
0.011875;13.08198
0.0125;13.07869
0.01375;13.07295
0.015;13.06807
0.01625;13.06387
0.0175;13.06018
0.01875;13.05692
0.02;13.054
0.021325;13.05121
0.02265;13.04868
0.023975;13.04637
0.0253;13.04424
0.02684375;13.04196
0.0283875;13.03985
0.02993125;13.0379
0.031475;13.03607
0.0345625;13.03273
0.03765;13.02972
0.0407375;13.02698
0.043825;13.02444
0.0469125;13.02206
0.05;13.01982
0.053125;13.01767
0.05625;13.01561
0.059375;13.01363
0.0625;13.01172
0.06875;13.00807
0.075;13.00461
0.08125;13.00128
0.0875;12.99807
0.09375;12.99496
0.1;12.99191
0.10625;12.98893
0.1125;12.98601
0.11875;12.98313
0.125;12.98029
0.1375;12.97472
0.15;12.96927
0.1625;12.96391
0.175;12.95863
0.1875;12.95342
0.2;12.94828
0.21875;12.94067
0.2375;12.93317
0.25625;12.92577
0.275;12.91846
0.29375;12.91123
0.3125;12.90408
0.33125;12.897
0.35;12.89
0.36875;12.88306
0.3875;12.87619
0.40625;12.86938
0.425;12.86263
0.5;12.83624
0.5625;12.81489
0.625;12.7941
0.75;12.75408
0.875;12.71598
1.0;12.6796
1.125;12.64479
1.25;12.61142
1.375;12.57939
1.5;12.54859
1.75;12.49036
2.0;12.43605
2.1875;12.39756
2.375;12.36082
2.5625;12.32566
2.75;12.29196
3.125;12.22831
3.5;12.16901
3.875;12.11339
4.25;12.06089
4.625;12.01105
5.0;11.9635
5.365991;11.91903
5.731982;11.87614
6.463963;11.79418
7.195944;11.71613
7.561935;11.6782
7.927925;11.64086
