Incident energy;Cross section
1.0E-5;27012.49
1.0625E-5;26205.97
1.125E-5;25467.62
1.1875E-5;24788.36
1.25E-5;24160.7
1.375E-5;23036.32
1.5E-5;22055.59
1.625E-5;21190.33
1.75E-5;20419.51
1.875E-5;19727.11
2.0E-5;19100.69
2.1875E-5;18263.75
2.375E-5;17527.99
2.5625E-5;16874.54
2.75E-5;16289.11
2.9375E-5;15760.67
3.125E-5;15280.54
3.3125E-5;14841.77
3.5E-5;14438.74
3.875E-5;13722.31
4.25E-5;13102.93
4.625E-5;12560.5
5.0E-5;12080.3
5.3125E-5;11719.6
5.625E-5;11389.4
5.9375E-5;11085.63
6.25E-5;10804.93
6.875E-5;10302.09
7.5E-5;9863.487
8.125E-5;9476.524
8.75E-5;9131.799
9.375E-5;8822.147
1.0E-4;8541.999
1.0625E-4;8286.948
1.125E-4;8053.458
1.1875E-4;7838.653
1.25E-4;7640.166
1.375E-4;7284.597
1.5E-4;6974.456
1.625E-4;6700.826
1.75E-4;6457.062
1.875E-4;6238.1
2.0E-4;6040.0
2.1875E-4;5775.324
2.375E-4;5542.643
2.5625E-4;5335.991
2.75E-4;5150.85
2.9375E-4;4983.731
3.125E-4;4831.886
3.3125E-4;4693.123
3.5E-4;4565.665
3.875E-4;4339.087
4.25E-4;4143.2
4.625E-4;3971.647
5.0E-4;3819.773
5.3125E-4;3705.696
5.625E-4;3601.263
5.9375E-4;3505.186
6.25E-4;3416.408
6.875E-4;3257.371
7.5E-4;3118.652
8.125E-4;2996.264
8.75E-4;2887.236
9.375E-4;2789.301
0.001;2700.697
0.0010625;2620.031
0.001125;2546.183
0.0011875;2478.245
0.00125;2415.468
0.001375;2303.006
0.0015;2204.909
0.001625;2118.357
0.00175;2041.248
0.001875;1971.981
0.002;1909.311
0.0021875;1825.577
0.002375;1751.964
0.0025625;1686.588
0.00275;1628.019
0.0029375;1575.154
0.003125;1527.122
0.0033125;1483.227
0.0035;1442.905
0.003875;1371.212
0.00425;1309.209
0.004625;1254.895
0.005;1206.808
0.0053125;1170.692
0.005625;1137.635
0.0059375;1107.228
0.00625;1079.131
0.006875;1028.792
0.0075;984.86
0.008125;946.0769
0.00875;911.5136
0.009375;880.4636
0.01;852.377
0.010625;826.8164
0.01125;803.4277
0.011875;781.919
0.0125;762.0458
0.01375;726.4232
0.015;695.3055
0.01625;667.8186
0.0175;643.3192
0.01875;621.3088
0.02;601.393
0.021325;582.2208
0.02265;564.7525
0.023975;548.7498
0.0253;534.0183
0.02684375;518.2473
0.0283875;503.7834
0.02993125;490.4619
0.031475;478.1374
0.0345625;455.9724
0.03765;436.5172
0.0407375;419.2825
0.043825;403.8836
0.0469125;390.0134
0.05;377.4306
0.053125;365.8105
0.05625;355.1575
0.059375;345.3552
0.0625;336.3026
0.06875;319.9948
0.075;305.6344
0.08125;292.8862
0.0875;281.4572
0.09375;271.1246
0.1;261.7262
0.1070515;252.0738
0.114103;243.2984
0.1211545;235.3472
0.128206;228.2126
0.1352575;221.9147
0.142309;216.4976
0.1493605;212.0023
0.1528862;210.1087
0.1564119;208.4427
0.1618605;206.2704
0.167309;204.4967
0.1727575;203.0004
0.178206;201.6577
0.189103;199.0414
0.1945515;197.6462
0.2;196.1537
0.20425;194.9205
0.2085;193.6325
0.21275;192.2978
0.217;190.9255
0.2290271;186.9176
0.2350406;184.8929
0.2410541;182.8889
0.2530812;179.0125
0.2590947;177.1571
0.2651082;175.3597
0.2715816;173.4889
0.2780549;171.6822
0.2845283;169.9375
0.2910016;168.2535
0.297475;166.6293
0.3039483;165.0638
0.316895;162.1063
0.3283391;159.667
0.3397832;157.3741
0.3512273;155.2218
0.3626713;153.2005
0.3855594;149.5112
0.4084475;146.2427
0.4313357;143.3072
0.4542238;140.6685
0.5;135.7106
0.5885925;126.853
0.677185;119.9551
0.7273675;118.3947
0.7955257;119.2883
0.8636838;122.9963
0.9318419;129.2719
1.0;138.3471
1.051818;147.5082
1.103635;159.0791
1.155452;173.5414
1.207269;191.5173
1.259087;213.6121
1.310904;240.2643
1.362721;271.3365
1.414538;305.6341
1.466332;340.9881
1.492229;358.5448
1.518126;376.3102
1.544023;395.2904
1.56992;417.423
1.595817;445.7184
1.621713;484.1473
1.639912;519.5484
1.65811;563.1813
1.676309;615.1898
1.694507;674.1278
1.712706;736.2504
1.730904;794.8387
1.749102;840.9452
1.7673;866.2513
1.782463;867.6797
1.793835;856.6581
1.805207;836.168
1.827951;773.3748
1.850695;694.7708
1.873438;614.0676
1.889259;561.2755
1.905079;512.9961
1.920899;469.836
1.936719;431.8396
1.95254;398.7356
1.96836;370.1236
1.98418;345.5646
2.0;324.6391
2.016075;306.7106
2.03215;291.8205
2.048225;279.7325
2.0643;270.2968
2.088413;261.0128
2.100469;258.6235
2.112525;257.8483
2.126591;259.188
2.140657;263.2961
2.154723;270.7387
2.168788;282.3874
2.175821;290.1738
2.182854;299.5345
2.189887;310.7141
2.196919;323.9931
2.203952;339.6929
2.210985;358.1531
2.218018;379.7096
2.22505;404.6372
2.233088;437.4297
2.241134;474.6185
2.249179;515.22
2.257224;557.2956
2.265269;597.7659
2.273315;632.5515
2.28136;657.0661
2.289405;667.1005
2.29745;659.8047
2.3032;643.4971
2.310372;611.0632
2.317544;567.4525
2.324716;516.0385
2.331888;460.6296
2.340659;392.687
2.349429;329.4082
2.358199;273.9913
2.366969;227.681
2.371355;207.9108
2.37574;190.2647
2.380125;174.5867
2.38451;160.7075
2.39328;137.644
2.40205;119.7279
2.408669;108.8954
2.415288;99.90769
2.421907;92.41988
2.428525;86.15207
2.435144;80.87578
2.441763;76.40988
2.448382;72.60824
2.455;69.3541
2.468238;64.12831
2.481475;60.18091
2.494713;57.14893
2.50795;54.7881
2.519533;53.13752
2.531116;51.78729
2.542699;50.67594
2.554282;49.75727
2.577448;48.36522
2.600613;47.41011
2.623779;46.76301
2.646944;46.34797
2.67011;46.11899
2.693275;46.04411
2.714786;46.09323
2.736297;46.2453
2.779319;46.83976
2.822341;47.76969
2.865363;49.02438
2.908385;50.62473
2.951407;52.59465
2.994429;54.96945
3.03745;57.79507
3.089147;61.86486
3.140843;66.7708
3.192539;72.60202
3.244235;79.44951
3.295931;87.34506
3.321779;91.64622
3.347627;96.14711
3.373475;100.8142
3.399323;105.6253
3.425171;110.6021
3.451019;115.8639
3.465367;119.0143
3.479715;122.4481
3.494063;126.3209
3.50841;130.8619
3.522758;136.3953
3.537105;143.3328
3.551453;152.1117
3.5658;163.0128
3.603325;197.6959
3.612707;205.1343
3.622088;210.6081
3.631469;213.4192
3.64085;213.1046
3.648387;210.4899
3.655924;205.8772
3.663461;199.5137
3.670997;191.7517
3.701144;154.798
3.716414;137.1819
3.724049;129.3293
3.731683;122.1831
3.739318;115.7321
3.746953;109.9379
3.754588;104.7445
3.762222;100.0899
3.777492;92.14591
3.792761;85.66323
3.808031;80.29856
3.8233;75.80337
3.837475;72.25036
3.85165;69.1863
3.865825;66.53423
3.88;64.23683
3.90835;60.53023
3.9367;57.77412
3.96505;55.77841
3.9934;54.43234
4.02175;53.65249
4.0501;53.37152
4.09635;53.85494
4.1426;55.39777
4.18885;57.92004
4.2351;61.20649
4.2906;66.16173
4.3461;72.10803
4.4571;86.06134
4.592825;103.2136
4.660688;109.4161
4.72855;112.5475
4.796413;112.2232
4.864275;108.6794
4.932138;102.7072
5.0;95.3296
5.129625;80.56901
5.194438;73.90792
5.25925;68.11132
5.320544;63.5693
5.381838;60.04179
5.443132;57.70455
5.473779;57.12029
5.504425;57.00093
5.535897;57.45429
5.567369;58.61993
5.598841;60.66558
5.630313;63.80981
5.661785;68.29978
5.693257;74.33083
5.724729;81.93486
5.7562;90.82321
5.78065;98.15238
5.8051;105.2671
5.82955;111.5356
5.854;116.3764
5.87845;119.4045
5.9029;120.5217
5.92735;119.9154
5.9518;117.9797
6.0007;112.0209
6.0432;106.5284
6.0857;101.9427
6.1282;98.744
6.1707;97.06846
6.2132;96.92714
6.257047;98.39908
6.300894;101.5814
6.344741;106.6337
6.388588;113.8584
6.410512;118.4206
6.432435;123.7054
6.454359;129.7969
6.476282;136.8037
6.498206;144.8753
6.520129;154.2094
6.542052;165.0601
6.563975;177.76
6.58199;189.9006
6.600004;203.9591
6.618018;220.4388
6.636032;240.0434
6.654046;263.7481
6.67206;292.8601
6.681067;309.9456
6.690074;329.0169
6.699081;350.3012
6.708088;374.006
6.722727;418.0711
6.737366;469.02
6.752005;525.7864
6.766644;585.5893
6.781283;643.6507
6.795922;693.4972
6.810561;728.027
6.8252;741.1833
6.834625;736.6609
6.846407;716.5348
6.858188;681.7619
6.869969;635.2203
6.88175;580.6894
6.896876;505.4019
6.912002;431.1177
6.927128;363.1939
6.942254;304.4473
6.95738;255.5732
6.972506;215.8947
6.987632;184.0811
7.002757;158.6552
7.013589;143.6092
7.024421;130.7155
7.035253;119.6145
7.046084;110.0085
7.056916;101.65
7.067747;94.34005
7.08941;82.23703
7.111074;72.71268
7.132737;65.09691
7.1544;58.92515
7.176063;53.87511
7.19606;50.01486
7.216057;46.79596
7.236054;44.12977
7.256051;41.95457
7.276048;40.23168
7.296045;38.94342
7.316042;38.0915
7.336038;37.69419
7.3627;37.91993
7.390825;39.1341
7.41895;41.2416
7.447075;43.80139
7.4752;45.9995
7.489263;46.66763
7.503325;46.9229
7.517388;46.72009
7.53145;46.06335
7.559575;43.62438
7.602641;38.48714
7.624174;35.964
7.645707;33.71567
7.66724;31.79878
7.688773;30.20757
7.710306;28.90546
7.731838;27.84567
7.774904;26.279
7.817969;25.24142
7.861035;24.5759
7.9041;24.18435
7.9493;24.00075
8.009638;24.023
8.069975;24.27769
8.130313;24.73218
8.19065;25.36083
8.247757;26.10194
8.304863;26.9808
8.361969;28.0047
8.419075;29.19445
8.476182;30.62323
8.504735;31.47419
8.533288;32.45009
8.561841;33.58177
8.590394;34.8873
8.618947;36.32827
8.6475;37.74752
8.6748;38.79818
8.7021;39.19945
8.7195;38.99489
8.7369;38.41711
8.7543;37.51885
8.7717;36.4002
8.819738;33.1477
8.843757;31.86258
