Incident energy;Cross section
1.0E-5;46.89922
1.0625E-5;45.581
1.125E-5;44.37644
1.1875E-5;43.27031
1.25E-5;42.2501
1.375E-5;40.42747
1.5E-5;38.84352
1.625E-5;37.45114
1.75E-5;36.21526
1.875E-5;35.10915
2.0E-5;34.11205
2.1875E-5;32.7858
2.375E-5;31.62616
2.5625E-5;30.60177
2.75E-5;29.68891
2.9375E-5;28.86927
3.125E-5;28.12849
3.3125E-5;27.45509
3.5E-5;26.83979
3.875E-5;25.75442
4.25E-5;24.82574
4.625E-5;24.02074
5.0E-5;23.31531
5.3125E-5;22.79032
5.625E-5;22.31371
5.9375E-5;21.87884
6.25E-5;21.48029
6.875E-5;20.77487
7.5E-5;20.16936
8.125E-5;19.64351
8.75E-5;19.18229
9.375E-5;18.77429
1.0E-4;18.41068
1.0625E-4;18.08453
1.125E-4;17.79027
1.1875E-4;17.52344
1.25E-4;17.28034
1.375E-4;16.8537
1.5E-4;16.49152
1.625E-4;16.18024
1.75E-4;15.90991
1.875E-4;15.673
2.0E-4;15.46374
2.1875E-4;15.19202
2.375E-4;14.96098
2.5625E-4;14.76221
2.75E-4;14.58948
2.9375E-4;14.43803
3.125E-4;14.30422
3.3125E-4;14.18516
3.5E-4;14.07857
3.875E-4;13.89579
4.25E-4;13.74482
4.625E-4;13.61807
5.0E-4;13.51019
5.3125E-4;13.43186
5.625E-4;13.36219
5.9375E-4;13.29983
6.25E-4;13.24368
6.875E-4;13.14667
7.5E-4;13.06581
8.125E-4;12.99736
8.75E-4;12.93868
9.375E-4;12.88782
0.001;12.8433
0.0010625;12.80402
0.001125;12.76909
0.0011875;12.73783
0.00125;12.70969
0.001375;12.66107
0.0015;12.62053
0.001625;12.58621
0.00175;12.55678
0.001875;12.53125
0.002;12.50889
0.0021875;12.48013
0.002375;12.45587
0.0025625;12.43514
0.00275;12.41721
0.0029375;12.40154
0.003125;12.38773
0.0033125;12.37546
0.0035;12.36449
0.003875;12.34567
0.00425;12.33011
0.004625;12.31701
0.005;12.30581
0.0053125;12.29765
0.005625;12.29036
0.0059375;12.28381
0.00625;12.27787
0.006875;12.26754
0.0075;12.25882
0.008125;12.25135
0.00875;12.24485
0.009375;12.23914
0.01;12.23406
0.010625;12.2295
0.01125;12.22538
0.011875;12.22162
0.0125;12.21818
0.01375;12.21206
0.015;12.20674
0.01625;12.20204
0.0175;12.19784
0.01875;12.19402
0.02;12.19052
0.021325;12.18709
0.02265;12.18391
0.023975;12.18092
0.0253;12.1781
0.02684375;12.175
0.0283875;12.17206
0.02993125;12.16926
0.031475;12.16657
0.0345625;12.16148
0.03765;12.15669
0.0407375;12.15214
0.043825;12.14775
0.0469125;12.14351
0.05;12.13938
0.053125;12.13528
0.05625;12.13126
0.059375;12.12729
0.0625;12.12337
0.06875;12.11562
0.075;12.10793
0.08125;12.10025
0.0875;12.09255
0.09375;12.08479
0.1;12.07692
0.1070515;12.06789
0.114103;12.05867
0.1211545;12.04925
0.128206;12.03967
0.1352575;12.03003
0.142309;12.02051
0.1493605;12.01134
0.1528862;12.00698
0.1564119;12.00281
0.1618605;11.99681
0.167309;11.99136
0.1727575;11.98644
0.178206;11.98196
0.189103;11.97384
0.1945515;11.96995
0.2;11.96608
0.20425;11.96304
0.2085;11.96001
0.21275;11.95698
0.217;11.95399
0.2290271;11.94576
0.2350406;11.94159
0.2410541;11.93714
0.2530812;11.92702
0.2590947;11.92143
0.2651082;11.91561
