Incident energy;Cross section
1.0E-5;134.5941
1.0625E-5;130.5755
1.125E-5;126.8966
1.1875E-5;123.5121
1.25E-5;120.3847
1.375E-5;114.7823
1.5E-5;109.8958
1.625E-5;105.5844
1.75E-5;101.7437
1.875E-5;98.29382
2.0E-5;95.17261
2.1875E-5;91.00246
2.375E-5;87.33644
2.5625E-5;84.08055
2.75E-5;81.1636
2.9375E-5;78.53059
3.125E-5;76.13826
3.3125E-5;73.95205
3.5E-5;71.94395
3.875E-5;68.37428
4.25E-5;65.28817
4.625E-5;62.58545
5.0E-5;60.1928
5.3125E-5;58.39563
5.625E-5;56.75038
5.9375E-5;55.2368
6.25E-5;53.8382
6.875E-5;51.33277
7.5E-5;49.14744
8.125E-5;47.21938
8.75E-5;45.50179
9.375E-5;43.95895
1.0E-4;42.56311
1.0625E-4;41.29233
1.125E-4;40.12897
1.1875E-4;39.05871
1.25E-4;38.06976
1.375E-4;36.29816
1.5E-4;34.7529
1.625E-4;33.38956
1.75E-4;32.17504
1.875E-4;31.0841
2.0E-4;30.09709
2.1875E-4;28.77839
2.375E-4;27.61911
2.5625E-4;26.58951
2.75E-4;25.6671
2.9375E-4;24.83448
3.125E-4;24.07796
3.3125E-4;23.38662
3.5E-4;22.75161
3.875E-4;21.62278
4.25E-4;20.64687
4.625E-4;19.7922
5.0E-4;19.03558
5.3125E-4;18.46727
5.625E-4;17.947
5.9375E-4;17.46837
6.25E-4;17.0261
6.875E-4;16.23384
7.5E-4;15.54281
8.125E-4;14.93314
8.75E-4;14.39003
9.375E-4;13.9022
0.001;13.46085
0.0010625;13.05905
0.001125;12.69122
0.0011875;12.35283
0.00125;12.04015
0.001375;11.48003
0.0015;10.99147
0.001625;10.56042
0.00175;10.17642
0.001875;9.831484
0.002;9.519411
0.0021875;9.102466
0.002375;8.735943
0.0025625;8.410449
0.00275;8.118868
0.0029375;7.855698
0.003125;7.616602
0.0033125;7.398113
0.0035;7.197422
0.003875;6.840624
0.00425;6.532086
0.004625;6.261836
0.005;6.0226
0.0053125;5.842944
0.005625;5.678521
0.0059375;5.527294
0.00625;5.387578
0.006875;5.137289
0.0075;4.918902
0.008125;4.726149
0.00875;4.554402
0.009375;4.400148
0.01;4.260645
0.010625;4.133717
0.01125;4.017603
0.011875;3.910846
0.0125;3.812231
0.01375;3.635521
0.015;3.481223
0.01625;3.344992
0.0175;3.223626
0.01875;3.114643
0.02;3.016081
0.021325;2.921249
0.02265;2.834898
0.023975;2.75586
0.0253;2.683199
0.02684375;2.605552
0.0283875;2.534423
0.031475;2.408044
0.0345625;2.298673
0.03765;2.203017
0.0407375;2.118508
0.043825;2.043145
0.0469125;1.975394
0.05;1.914056
0.053125;1.857533
0.05625;1.805836
0.059375;1.758388
0.0625;1.714693
0.06875;1.636304
0.075;1.567695
0.08125;1.50721
0.0875;1.45339
0.09375;1.405099
0.1;1.361457
0.10625;1.321767
0.1125;1.285472
0.11875;1.252156
0.125;1.221572
0.1375;1.16668
0.15;1.118662
0.1625;1.076395
0.175;1.03883
0.1875;1.00517
0.2;0.9749021
0.21875;0.9345231
0.2375;0.8990365
0.25625;0.8676422
0.275;0.839628
0.29375;0.8144438
0.3125;0.7916573
0.33125;0.7709251
0.35;0.7520886
0.3875;0.7187118
0.425;0.6900089
0.5;0.6434337
0.625;0.5870707
0.75;0.5473229
0.875;0.5182326
1.0;0.4963903
1.25;0.4671605
1.5;0.4510547
1.75;0.4441452
2.0;0.4444778
2.299529;0.4531728
2.599058;0.4708063
2.898587;0.4982471
3.198115;0.5374554
3.483604;0.5889364
3.769092;0.6592658
3.911837;0.7032132
4.054581;0.7566337
4.197325;0.8254802
4.268697;0.872399
4.28654;0.8916846
4.304383;0.9215318
4.313305;0.9448008
4.322226;0.9780235
4.331148;1.026037
4.340069;1.094363
4.34709;1.165665
4.35411;1.253776
4.36815;1.474613
4.385003;1.761425
4.393429;1.874148
4.401855;1.942666
4.40748;1.957996
4.413131;1.947503
4.418782;1.912251
4.430084;1.781593
4.445978;1.53168
4.459602;1.333214
4.466414;1.254142
4.473225;1.190657
4.480037;1.141951
4.486849;1.106141
4.500472;1.063725
4.514096;1.045922
4.527719;1.040794
4.557237;1.047423
4.586755;1.063418
4.64579;1.105309
4.76386;1.213754
4.88193;1.344375
5.0;1.503695
5.103887;1.675453
5.207773;1.885595
5.311659;2.145341
5.415545;2.471642
5.519432;2.885206
5.571375;3.135426
5.623318;3.426322
5.675261;3.763805
5.727204;4.158111
5.779147;4.622858
5.83109;5.176032
5.879787;5.796317
5.928484;6.542379
5.977181;7.450168
6.025877;8.564676
6.074574;9.959311
6.098923;10.79761
6.123271;11.75244
6.14762;12.84534
6.171968;14.10388
6.196316;15.56361
6.220664;17.27034
6.246636;19.43075
6.272608;22.03673
6.29858;25.219
6.324551;29.16033
6.350523;34.13169
6.363509;37.12559
6.376494;40.54743
6.38948;44.48584
6.402466;49.05204
6.415452;54.38969
6.428437;60.6875
6.438177;66.19219
6.447916;72.52017
6.457655;79.85615
6.467394;88.44394
6.47267;93.73152
6.477945;99.54736
6.483221;105.975
6.488496;113.1117
6.491134;116.9847
6.493772;121.0839
6.49641;125.4299
6.499047;130.0439
6.501685;134.9555
6.504323;140.1927
6.506961;145.789
6.509598;151.7803
6.51183;157.1939
6.514062;162.9529
6.516294;169.0907
6.518526;175.6448
6.52157;185.3308
6.524613;195.9878
6.527657;207.7648
6.5307;220.8195
6.532932;231.3199
6.535164;242.6985
6.537396;255.0513
6.539628;268.4847
6.54186;283.1166
6.544092;299.0773
6.546324;316.5101
6.548556;335.5728
6.550585;354.4608
6.552614;374.9788
6.554643;397.2788
6.556672;421.5239
6.558701;447.889
6.56073;476.5607
6.562759;507.7372
6.564788;541.6281
6.566817;578.4542
6.568846;618.4466
6.570875;661.8462
6.572904;708.9024
6.576962;815.0169
6.58102;938.8996
6.583252;1015.385
6.585484;1098.241
6.589948;1284.396
6.594412;1499.827
6.598875;1746.464
6.603339;2025.695
6.607803;2337.804
6.612267;2681.943
6.61673;3055.79
6.622412;3568.693
6.628093;4111.851
6.639456;5222.158
6.648384;6026.259
6.657311;6672.209
6.665796;7065.956
6.67428;7196.735
6.675793;7190.68
6.680827;7106.674
6.685861;6927.968
6.690895;6662.444
6.695928;6321.531
6.70643;5430.594
6.716932;4416.825
6.727435;3415.878
6.732686;2953.475
6.737937;2528.27
6.743188;2145.354
6.748439;1807.051
6.75369;1513.342
6.758941;1262.363
6.763477;1077.528
6.768012;919.6684
6.772547;785.9161
6.777082;673.3706
6.781617;579.1924
6.786152;500.7034
6.790687;435.453
6.795222;381.2555
6.799757;336.2036
6.804292;298.6641
6.808827;267.2616
6.813362;240.8538
6.817897;218.5037
6.822432;199.45
6.826967;183.0796
6.831502;168.9014
6.836276;155.9147
6.84105;144.5614
6.850597;125.6756
6.860145;110.5993
6.869692;98.28875
6.880195;87.12115
6.890697;77.84641
6.901199;70.03479
6.911701;63.37948
6.922204;57.65354
6.932706;52.68708
6.943208;48.34768
6.95371;44.53193
6.974715;38.1576
6.995719;33.07578
7.016723;28.95619
7.037727;25.56925
7.055868;23.10627
7.074008;20.98749
7.092148;19.15046
7.110288;17.54573
7.128429;16.13429
7.146569;14.88586
7.182849;12.78624
7.21913;11.10188
