Incident energy;Cross section
1.0E-5;35.17059
1.0625E-5;34.18328
1.125E-5;33.28115
1.1875E-5;32.45276
1.25E-5;31.68873
1.375E-5;30.32387
1.5E-5;29.13783
1.625E-5;28.09531
1.75E-5;27.17004
1.875E-5;26.34199
2.0E-5;25.5956
2.1875E-5;24.60291
2.375E-5;23.73501
2.5625E-5;22.96842
2.75E-5;22.28537
2.9375E-5;21.67214
3.125E-5;21.11797
3.3125E-5;20.61425
3.5E-5;20.15405
3.875E-5;19.34238
4.25E-5;18.64803
4.625E-5;18.04627
5.0E-5;17.51903
5.3125E-5;17.12674
5.625E-5;16.77064
5.9375E-5;16.44578
6.25E-5;16.1481
6.875E-5;15.62133
7.5E-5;15.16929
8.125E-5;14.77684
8.75E-5;14.4327
9.375E-5;14.12836
1.0E-4;13.8572
1.0625E-4;13.61402
1.125E-4;13.39469
1.1875E-4;13.19583
1.25E-4;13.0147
1.375E-4;12.69693
1.5E-4;12.42726
1.625E-4;12.19558
1.75E-4;11.99444
1.875E-4;11.81823
2.0E-4;11.66261
2.1875E-4;11.46063
2.375E-4;11.28894
2.5625E-4;11.14128
2.75E-4;11.013
2.9375E-4;10.90055
3.125E-4;10.80122
3.3125E-4;10.71285
3.5E-4;10.63376
3.875E-4;10.49815
4.25E-4;10.38617
4.625E-4;10.29217
5.0E-4;10.21218
5.3125E-4;10.15411
5.625E-4;10.10246
5.9375E-4;10.05623
6.25E-4;10.01462
6.875E-4;9.94272
7.5E-4;9.882794
8.125E-4;9.832081
8.75E-4;9.788609
9.375E-4;9.750932
0.001;9.717963
0.0010625;9.688872
0.001125;9.663012
0.0011875;9.639873
0.00125;9.619047
0.001375;9.583073
0.0015;9.553091
0.001625;9.52772
0.00175;9.50597
0.001875;9.487118
0.002;9.47062
0.0021875;9.449405
0.002375;9.431536
0.0025625;9.416278
0.00275;9.403097
0.0029375;9.391595
0.003125;9.38147
0.0033125;9.372489
0.0035;9.364467
0.003875;9.350745
0.00425;9.339434
0.004625;9.32995
0.005;9.32188
0.0053125;9.31602
0.005625;9.310806
0.0059375;9.306137
0.00625;9.30193
0.006875;9.294651
0.0075;9.288571
0.008125;9.283413
0.00875;9.27898
0.009375;9.275126
0.01;9.271742
0.010625;9.268747
0.01125;9.266075
0.011875;9.263675
0.0125;9.261506
0.01375;9.257736
0.015;9.254565
0.01625;9.251855
0.0175;9.249508
0.01875;9.24745
0.02;9.245627
0.021325;9.243906
0.02265;9.242365
0.023975;9.240974
0.0253;9.239709
0.02684375;9.238369
0.0283875;9.237152
0.031475;9.235012
0.0345625;9.233177
0.03765;9.231572
0.0407375;9.230145
0.043825;9.228858
0.0469125;9.227684
0.05;9.2266
0.053125;9.225581
0.05625;9.224626
0.059375;9.223725
0.0625;9.222871
0.06875;9.221274
0.075;9.219798
0.08125;9.218413
0.0875;9.217099
0.09375;9.215842
0.1;9.214632
0.10625;9.213461
0.1125;9.212321
0.11875;9.211208
0.125;9.210116
0.1375;9.207989
0.15;9.205919
0.1625;9.203892
0.175;9.201899
0.1875;9.199932
0.2;9.197986
0.21875;9.195096
0.2375;9.192234
0.25625;9.18939
0.275;9.186561
0.29375;9.183743
0.3125;9.18093
0.33125;9.178123
0.35;9.175317
0.3875;9.169708
0.425;9.164094
0.5;9.152825
0.625;9.133854
0.75;9.114568
0.875;9.094904
1.0;9.07482
1.25;9.033235
1.5;8.989474
1.75;8.943147
2.0;8.893841
2.299529;8.830184
2.599058;8.760496
2.898587;8.683383
3.198115;8.597014
3.483604;8.503773
3.769092;8.396793
3.911837;8.337428
4.054581;8.272487
4.197325;8.201576
4.268697;8.164217
4.28654;8.154493
4.304383;8.144621
4.313305;8.139634
4.322226;8.134615
4.331148;8.129563
4.340069;8.12448
4.34709;8.120456
4.35411;8.116412
4.36815;8.108261
4.385003;8.098366
4.393429;8.093372
4.401855;8.088347
4.40748;8.084975
4.413131;8.081573
4.418782;8.078157
4.430084;8.07128
4.445978;8.06151
4.459602;8.053039
4.466414;8.048771
4.473225;8.04448
4.480037;8.040166
4.486849;8.035829
4.500472;8.027087
4.514096;8.01825
4.527719;8.009316
4.557237;7.989602
4.586755;7.9694
4.64579;7.927627
4.76386;7.836454
4.88193;7.736503
5.0;7.624789
5.103887;7.514278
5.207773;7.38992
5.311659;7.249052
5.415545;7.087882
5.519432;6.902377
5.571375;6.798525
5.623318;6.684958
5.675261;6.560999
5.727204;6.425183
5.779147;6.275674
5.83109;6.110239
5.879787;5.938257
5.928484;5.747117
5.977181;5.533508
6.025877;5.293868
6.074574;5.022801
6.098923;4.872987
6.123271;4.712418
6.14762;4.540078
6.171968;4.354782
6.196316;4.155147
6.220664;3.939627
6.246636;3.690313
6.272608;3.418797
6.29858;3.122858
6.324551;2.800477
6.350523;2.450128
6.363509;2.264351
6.376494;2.071811
6.38948;1.873108
6.402466;1.669426
6.415452;1.462746
6.428437;1.256311
6.438177;1.104637
6.447916;0.959256
6.457655;0.8249172
6.467394;0.7086203
6.47267;0.6566798
6.477945;0.6153276
6.483221;0.5874854
6.488496;0.5769696
6.491134;0.5797073
6.493772;0.5887588
6.49641;0.6050041
6.499047;0.6294494
6.501685;0.663291
6.504323;0.707891
6.506961;0.7648404
6.509598;0.8359651
6.51183;0.9088488
6.514062;0.9949493
6.516294;1.095985
6.518526;1.213911
6.52157;1.406038
6.524613;1.640265
6.527657;1.924582
6.5307;2.2681
6.532932;2.564055
6.535164;2.902784
6.537396;3.289917
6.539628;3.73178
6.54186;4.235458
6.544092;4.808863
6.546324;5.460809
6.548556;6.201074
6.550585;6.959728
6.552614;7.809202
6.554643;8.759198
6.556672;9.820238
6.558701;11.0037
6.56073;12.32182
6.562759;13.78774
6.564788;15.41547
6.566817;17.21994
6.568846;19.2169
6.570875;21.42296
6.572904;23.85552
6.576962;29.47312
6.58102;36.22141
6.583252;40.4722
6.585484;45.13933
6.589948;55.82749
6.594412;68.48734
6.598875;83.29396
6.603339;100.3945
6.607803;119.8714
6.612267;141.7385
6.61673;165.9156
6.622412;199.7562
6.628093;236.4225
6.639456;314.2744
6.648384;373.9067
6.657311;425.558
6.665796;461.8936
6.67428;481.841
6.675793;483.4931
6.680827;484.7208
6.685861;479.4678
6.690895;468.0755
6.695928;451.1431
6.70643;401.6578
6.716932;340.5638
6.727435;276.9439
6.732686;246.5703
6.737937;218.0749
6.743188;191.9085
6.748439;168.3371
6.75369;147.464
6.758941;129.2581
6.763477;115.578
6.768012;103.6629
6.772547;93.35537
6.777082;84.48804
6.781617;76.89075
6.786152;70.39801
6.790687;64.8545
6.795222;60.11852
6.799757;56.06391
6.804292;52.58048
6.808827;49.57373
6.813362;46.9637
6.817897;44.68355
6.822432;42.67801
6.826967;40.90163
6.831502;39.31732
6.836276;37.82387
6.84105;36.48125
6.850597;34.16114
6.860145;32.21997
6.869692;30.56689
6.880195;29.00622
6.890697;27.65906
6.901199;26.48285
6.911701;25.44617
6.922204;24.52504
6.932706;23.70107
6.943208;22.95948
6.95371;22.28849
6.974715;21.12144
6.995719;20.14122
7.016723;19.30642
7.037727;18.58713
7.055868;18.04165
7.074008;17.5546
7.092148;17.11691
7.110288;16.7212
7.128429;16.36146
7.146569;16.03296
7.182849;15.45486
7.21913;14.96285
