Incident energy ,Cross section
1E-05,107.1311
1.0625E-05,103.9961
1.125E-05,101.1279
1.1875E-05,98.49079
1.25E-05,96.05548
1.375E-05,91.69675
1.5E-05,87.89939
1.625E-05,84.55305
1.75E-05,81.57545
1.875E-05,78.90392
2E-05,76.48974
2.1875E-05,73.26882
2.375E-05,70.44212
2.5625E-05,67.93591
2.75E-05,65.69437
2.9375E-05,63.6744
3.125E-05,61.84209
3.3125E-05,60.17039
3.5E-05,58.63739
3.875E-05,55.91873
4.25E-05,53.57577
4.625E-05,51.53026
5E-05,49.72495
5.3125E-05,48.37269
5.625E-05,47.1378
5.9375E-05,46.00448
6.25E-05,44.95978
6.875E-05,43.09482
7.5E-05,41.4756
8.125E-05,40.05339
8.75E-05,38.79191
9.375E-05,37.66355
0.0001,36.6469
0.00010625,35.72502
0.0001125,34.88434
0.00011875,34.11385
0.000125,33.40451
0.0001375,32.14048
0.00015,31.0454
0.0001625,30.08543
0.000175,29.23546
0.0001875,28.47638
0.0002,27.79338
0.00021875,26.88671
0.0002375,26.09544
0.00025625,25.39742
0.000275,24.776
0.00029375,24.21835
0.0003125,23.71445
0.00033125,23.25633
0.00035,22.83755
0.0003875,22.09798
0.000425,21.46371
0.0004625,20.91221
0.0005,20.4271
0.00053125,20.06468
0.0005625,19.73437
0.00059375,19.43174
0.000625,19.15317
0.0006875,18.65672
0.00075,18.2264
0.0008125,17.84884
0.000875,17.51415
0.0009375,17.21485
0.001,16.94516
0.0010625,16.70053
0.001125,16.47733
0.0011875,16.27263
0.00125,16.08402
0.001375,15.74745
0.0015,15.45523
0.001625,15.19847
0.00175,14.97056
0.001875,14.76651
0.002,14.58244
0.0021875,14.33733
0.002375,14.12262
0.0025625,13.93255
0.00275,13.76276
0.0029375,13.6099
0.003125,13.47136
0.0033125,13.34502
0.0035,13.2292
0.003875,13.02382
0.00425,12.84678
0.004625,12.69213
0.005,12.55556
0.0053125,12.45321
0.005625,12.35969
0.0059375,12.27381
0.00625,12.19458
0.006875,12.05291
0.0075,11.92959
0.008125,11.82096
